key,0,1,2
#,Name,AttackType,Recast<100ms>
int32,str,int32,int32
116,"軍神的讚美歌",魔法,1200,
117,"死亡箭雨",,150,
118,"戰鬥之聲",,1200,
119,"巨岩",魔法,25,
120,"療傷",魔法,25,
121,"勁風",魔法,25,
122,"戰姿",,50,
123,"物防護",魔法,25,
124,"醫治",魔法,25,
125,"復活",魔法,25,
126,"復原",魔法,25,
127,"中巨岩",魔法,25,
128,"沉靜",魔法,25,
129,"石膚",魔法,25,
130,"女神的加護",,1200,
131,"大療傷",魔法,25,
132,"中勁風",魔法,25,
133,"醫濟",魔法,25,
134,"水流環",魔法,300,
135,"中療傷",魔法,25,
136,"神速詠唱",,1200,
137,"再生",魔法,25,
138,"神封印",,600,
139,"神聖",魔法,25,
140,"天賜祝福",,1800,
141,"火焰",魔法,25,
142,"暴雪",魔法,25,
143,"沉穩詠唱",,300,
144,"雷電",魔法,25,
145,"催眠",魔法,25,
146,"中暴雪",魔法,25,
147,"中火焰",魔法,25,
148,"中雷電",魔法,25,
149,"星靈移位",,50,
150,"即刻詠唱",,600,
151,"昏沉",魔法,300,
152,"大火焰",魔法,25,
153,"大雷電",魔法,25,
154,"大暴雪",魔法,25,
155,"乙太步",,100,
156,"崩潰",魔法,25,
157,"魔法護盾",,1200,
158,"魔泉",,1200,
159,"冰寒",魔法,25,
160,"萬有復興",,1800,
161,"堅壁",,1200,
162,"火光",魔法,25,
163,"毀滅",魔法,25,
164,"毒化",魔法,25,
165,"召喚",魔法,30,
166,"乙太超流",,600,
167,"吸取能量",魔法,10,
168,"瘴氣",魔法,25,
169,"病毒",魔法,900,
170,"召喚II",魔法,30,
171,"維持",魔法,25,
172,"毀壞",魔法,25,
173,"復生",魔法,25,
174,"災禍",魔法,100,
175,"以眼還眼",,1800,
176,"振奮",魔法,600,
177,"瘴癘",魔法,25,
178,"中度毒化",魔法,25,
179,"暗影火光",魔法,600,
180,"召喚III",魔法,30,
181,"潰爛爆發",魔法,10,
182,"三重束縛",魔法,25,
183,"鞭策",,1200,
184,"內力迸發",,1800,
185,"鼓舞激勵之策",魔法,25,
186,"士氣高揚之策",魔法,25,
187,"生命淨化法",魔法,25,
188,"野戰治療陣",,300,
189,"生命活性法",,10,
190,"醫術",魔法,25,
191,"堅石膚",魔法,25,
192,"",魔法,0,
193,"",,0,
194,"",,0,
195,"",,0,
196,"反撃効果",,0,
197,"銅牆鐵盾",リミットブレイク,0,
198,"堅守要塞",リミットブレイク,0,
199,"終極堡壘",リミットブレイク,0,
200,"英勇斬擊",リミットブレイク,0,
201,"刀光劍舞",リミットブレイク,0,
202,"最終天堂",リミットブレイク,0,
203,"蒼天破碎",リミットブレイク,0,
204,"小型隕石",リミットブレイク,0,
205,"隕石流星",リミットブレイク,0,
206,"治癒微風",リミットブレイク,0,
207,"大地氣息",リミットブレイク,0,
208,"生命脈動",リミットブレイク,0,
209,"極限爆發",魔法,0,
210,"三角測量",,0,
211,"樹木之聲",,200,
212,"潛行",,0,
213,"籌備",,0,
214,"開拓者之手",,0,
215,"農夫之智",,0,
216,"樵夫之技",,0,
217,"諾菲卡的加護",,0,
218,"環境探知",,0,
219,"比爾格的加護",,0,
220,"環境探知II",,0,
221,"叢林之相",,0,
222,"天賜收成",,0,
223,"",斬,0,
224,"天賜收成II",,0,
225,"轉變",,0,
226,"轉變II",,0,
227,"礦脈勘探",,0,
228,"大地勘查",,200,
229,"潛行",,0,
230,"籌備",,0,
231,"登山者之感",,0,
232,"石工之理",,0,
233,"雕工之力",,0,
234,"納爾札爾的加護",,0,
235,"敏銳視野",,0,
236,"梅茵菲娜的加護",,0,
237,"敏銳視野II",,0,
238,"山岳之相",,0,
239,"莫非王土",,0,
240,"收藏品採集",,0,
241,"莫非王土II",,0,
242,"發掘",,0,
243,"發掘II",,0,
244,"穩手",,0,
245,"穩手",,0,
246,"穩手",,0,
247,"穩手",,0,
248,"穩手",,0,
249,"穩手",,0,
250,"穩手",,0,
251,"穩手",,0,
252,"內靜",,0,
253,"內靜",,0,
254,"內靜",,0,
255,"內靜",,0,
256,"內靜",,0,
257,"內靜",,0,
258,"內靜",,0,
259,"內靜",,0,
260,"闊步",,0,
261,"闊步",,0,
262,"闊步",,0,
263,"闊步",,0,
264,"闊步",,0,
265,"闊步",,0,
266,"闊步",,0,
267,"闊步",,0,
268,"以小釣大II",,1800,
269,"雙重提鉤",,0,
270,"發掘III",,0,
271,"轉變III",,0,
272,"高產II",,0,
273,"豐收II",,0,
274,"納爾札爾的指引",,0,
275,"諾菲卡的指引",,0,
276,"鬆弛",,0,
277,"新穎",,0,
278,"掌握",,0,
279,"儉約",,0,
280,"十二神加護",,0,
281,"穩手II",,0,
282,"十二神加護",,0,
283,"新穎II",,0,
284,"改革",,0,
285,"儉約II",,0,
286,"安逸",,0,
287,"回收",,0,
288,"選餌",,0,
289,"拋竿",,0,
290,"樹木之聲II",,200,
291,"大地勘查II",,200,
292,"利姆萊茵的加護",,0,
293,"沙利亞克的加護",,0,
294,"環境探知III",,0,
295,"敏銳視野III",,0,
296,"提鉤",,0,
297,"以小釣大",,0,
298,"潛行",,0,
299,"中斷",,0,
300,"放生",,0,
301,"直覺甄別II",,0,
302,"直覺甄別II",,0,
303,"潛行",,0,
304,"潛行",,0,
305,"潛行",,0,
306,"",,0,
307,"沉默",,300,
308,"麻痺",,300,
309,"加速",,300,
310,"減速",,300,
311,"火棘屏障",,300,
312,"冰棘屏障",,300,
313,"電棘屏障",,300,
314,"物理石膚",,300,
315,"魔法石膚",,300,
316,"石膚",,300,
317,"污濁吐息",ブレス,60,
318,"寒霜吐息",ブレス,60,
319,"後踢",打,60,
320,"狂奔",打,60,
321,"大角",打,60,
322,"投石",突,30,
323,"毒手",,60,
324,"神偷",,60,
325,"雷電直擊",魔法,60,
326,"雷暴",,60,
327,"黏網",,60,
328,"腐蝕噴霧",,60,
329,"致命尾刺",突,60,
330,"致命尾刺",,60,
331,"飛翼斬",魔法,60,
332,"戰慄尖叫",,60,
333,"蛋黃衝擊",,60,
334,"橫衝直撞",打,60,
335,"怒髮衝冠",,60,
336,"嚎叫",,150,
337,"自爆",魔法,60,
338,"爆燃",,60,
339,"爆轟",,60,
340,"苦行",,60,
341,"地獄揮",斬,60,
342,"吸魂",ブレス,60,
343,"死亡詛咒",,60,
344,"種彈投射",突,30,
345,"颯颯酸彈",,60,
346,"颯颯速彈",魔法,60,
347,"滑舌",打,60,
348,"油性分泌物",,60,
349,"倦怠舔舐",,60,
350,"微衝擊波",,60,
351,"蓄能晶鬚",,60,
352,"混沌之眼",,60,
353,"衝擊波",,60,
354,"好奇",,60,
355,"大衝擊波",魔法,60,
356,"鋼鐵正義",斬,60,
357,"聖意",,60,
358,"痛苦之刃",,60,
359,"赦免之刃",,60,
360,"懺悔之刃",,60,
361,"平直劍",斬,60,
362,"精神衝擊",魔法,60,
363,"吸血觸",打,200,
364,"酸霧",,60,
365,"酸霧",,60,
366,"酸霧",,60,
367,"酸霧",,60,
368,"迷眼",,60,
369,"投石",突,60,
370,"轟炸",打,60,
371,"侵擾",,60,
372,"腐壞",,60,
373,"空翻斬",打,60,
374,"堅殼防禦",,60,
375,"堅殼防禦",,60,
376,"堅殼防禦",,60,
377,"驚惶",,60,
378,"吸血",ブレス,60,
379,"超音波",,60,
380,"超音波",,60,
381,"釋放汁液",魔法,60,
382,"釋放黏液",,60,
383,"釋放忘液",,60,
384,"震擊",打,60,
385,"震擊",打,60,
386,"震擊",打,60,
387,"撕咬",斬,60,
388,"溶解液",,60,
389,"溶解液",,60,
390,"叮咬",突,60,
391,"吸血",突,60,
392,"吸血",,60,
393,"致盲衝擊",,60,
394,"寂靜之光",,60,
395,"咒縛",,60,
396,"菌絲鞭",打,60,
397,"催吐孢雲",,60,
398,"麻痺孢雲",,60,
399,"嬉鬧攻擊",打,60,
400,"熱情律動",,60,
401,"狂熱擊",打,60,
402,"加速",,60,
403,"帝國式強壯劑",,60,
404,"帝國式興奮劑",,60,
405,"投彈",魔法,60,
406,"投彈",魔法,60,
407,"爆竹雨",,150,
408,"狂野喧囂",打,60,
409,"毒滴牙",,60,
410,"石化凝視",,300,
411,"後翻",打,60,
412,"圓尾掃",打,60,
413,"火球",魔法,60,
414,"雜音",魔法,60,
415,"爆裂尾",打,60,
416,"金口舌",,60,
417,"龜足踏",打,60,
418,"甲殼強化",,60,
419,"側身斬",斬,60,
420,"研磨石",,600,
421,"憤怒一擊",,200,
422,"超猛擊",打,60,
423,"風暴將至",,60,
424,"敏捷陣風",,60,
425,"反射",,600,
426,"賦火",,300,
427,"賦冰",,300,
428,"賦風",,300,
429,"賦土",,300,
430,"賦雷",,300,
431,"賦水",,300,
432,"吸取",ブレス,30,
433,"",,0,
434,"",,0,
435,"",,0,
436,"",魔法,0,
437,"",魔法,0,
438,"",魔法,0,
439,"",,0,
440,"頂枝衝壓",打,60,
441,"巨木龍捲",打,60,
442,"橡果炸彈",,60,
443,"岩石骷髏",打,60,
444,"巨石霹靂",打,60,
445,"沙塵噴射",ブレス,60,
446,"雷鳴吐息",ブレス,60,
447,"登場",,0,
448,"水浪吐息",魔法,60,
449,"怪異光",,60,
450,"驚奇光",,60,
451,"攻撃",斬,0,
452,"熱風",魔法,0,
453,"烈焰焚燒",ブレス,0,
454,"火神爆裂",魔法,0,
455,"噴發",,0,
456,"光輝炎柱",,0,
457,"深紅旋風",魔法,0,
458,"地獄之火炎",魔法,0,
459,"イフリート：ジャンプ",,0,
460,"イフリート：着地",,0,
461,"イフリート：炎獄の楔召喚",,0,
462,"イフリート：角復活",,0,
463,"イフリート：怒りオン",,0,
464,"炎獄の楔：出現",,0,
465,"炎獄の楔：死亡",,0,
466,"",,0,
467,"",,0,
468,"",,0,
469,"",,0,
470,"",,0,
471,"",,0,
472,"",,0,
473,"",,0,
474,"蠻勇",,60,
475,"三連擊",打,60,
476,"步法",,60,
477,"直擊要害",,600,
478,"後手衝擊",打,60,
479,"草木榮枯",打,60,
480,"光合成",,0,
481,"光呼吸",,0,
482,"平原震裂",魔法,60,
483,"岩石崩潰",打,60,
484,"石灰化",,0,
485,"汎用：詩人技：回避アップ歌",,60,
486,"汎用：詩人技：攻撃アップ歌",,60,
487,"汎用：詩人技：防御アップ歌",,60,
488,"劇毒觸擊",,300,
489,"甜鋼",斬,60,
490,"石火豪拳",打,60,
491,"勃然大怒",,60,
492,"貫穿箭",,0,
493,"汎用：巴術技：単体スロウ",,60,
494,"汎用：巴術技：単体防御DOWN",,60,
495,"拍掌",,300,
496,"揚沙",,60,
497,"猛撞",打,60,
498,"冷酷凝視",,300,
499,"石化凝視",,300,
500,"狂奔",,60,
501,"五十根針",突,60,
502,"百根針",突,60,
503,"千根針",突,60,
504,"猛錘喙",突,60,
505,"石化吐息",,300,
506,"麻痺吐息",,300,
507,"劇毒吐息",,300,
508,"催眠吐息",,300,
509,"狂吠",,60,
510,"糾纏咬",突,60,
511,"嗜血咬",斬,60,
512,"詛咒視線",,300,
513,"恐怖視線",,300,
514,"5級石化",,0,
515,"硬質化",,60,
516,"甲殼破裂",魔法,60,
517,"火龍捲",魔法,60,
518,"灑落雷",魔法,60,
519,"雷牙",,60,
520,"頭撞",打,60,
521,"地震嚎",,60,
522,"羊毛脂",,300,
523,"捕獵鉗",突,60,
524,"酸液噴射",魔法,60,
525,"鑽頭砲",突,60,
526,"陶瓷合金鑽頭",突,60,
527,"超載",魔法,60,
528,"黃沙吐息",ブレス,60,
529,"沙暴",ブレス,60,
530,"劇毒吐息",ブレス,60,
531,"大地崩裂",魔法,0,
532,"地震",魔法,60,
533,"沙柱",魔法,20,
534,"巨劍攻擊",斬,60,
535,"強力打擊",魔法,60,
536,"抗魔咒",,60,
537,"魔導雷射",魔法,60,
538,"過熱",,60,
539,"排氣",魔法,60,
540,"魔導結界",,60,
541,"啃咬",突,60,
542,"海浪飛揚",,60,
543,"塵土飛揚",,60,
544,"狂食",,60,
545,"粉碎衝擊",打,60,
546,"地層斷裂",,60,
547,"地層斷裂",魔法,60,
548,"喉歌",魔法,60,
549,"洪亮巨響",,60,
550,"超級突進",打,60,
551,"泥土外衣",,60,
552,"脊針刺",突,60,
553,"鐵甲",,60,
554,"收束手榴彈",魔法,60,
555,"水槍",魔法,60,
556,"水力球",魔法,300,
557,"撕抓",斬,60,
558,"毒液猛咬",突,120,
559,"巨龍吐息",ブレス,200,
560,"花崗岩雨",打,240,
561,"迴旋踢",打,300,
562,"地爆彈",魔法,60,
563,"猛毒黏液",ブレス,150,
564,"空降",打,0,
565,"カラードラゴン：飛び立ち消滅",,0,
566,"泡泡吐息",魔法,60,
567,"大剪鉗",斬,60,
568,"泡泡浴",,60,
569,"蟹甲流",斬,60,
570,"猛啄",突,60,
571,"禽臭",魔法,60,
572,"餿嗝",魔法,60,
573,"投擲沙丁魚",突,60,
574,"反哺",,60,
575,"擊倒",打,60,
576,"吸氣",,60,
577,"グゥーブー：飲み込む",,60,
578,"グゥーブー：吐きだす",,60,
579,"發霉噴嚏",魔法,60,
580,"患病噴嚏",魔法,60,
581,"アトモス：吸い込み",,0,
582,"アトモス：吐きだし",,0,
583,"詭異視線",魔法,60,
584,"腐爛吐息",魔法,250,
585,"咒言",魔法,60,
586,"怨念",魔法,60,
587,"滲透",,60,
588,"雷胞",突,60,
589,"刺胞",突,60,
590,"咩叫",,60,
591,"衝撞",打,60,
592,"搖籃曲",,60,
593,"芳香",,60,
594,"尖嘯",,60,
595,"投石",打,60,
596,"野蠻咆哮",魔法,60,
597,"ドラゴン毒沼：発生ループ",魔法,0,
598,"ドラゴン毒沼：消滅",,0,
599,"生命水",,60,
600,"骨灰",魔法,60,
601,"號叫",打,60,
602,"哀叫",魔法,60,
603,"驚叫",魔法,60,
604,"臭氣",,300,
605,"甜氣",,60,
606,"藤鞭穿刺",突,60,
607,"防守策略",,60,
608,"切裂",突,60,
609,"大手",打,60,
610,"死亡之爪",魔法,0,
611,"デスクロー：デスクロー解除",,0,
612,"碎骨拳",打,60,
613,"落肘",打,60,
614,"燒心",魔法,60,
615,"無意",,60,
616,"火熱",,60,
617,"狂熱",,60,
618,"雙重碎擊",打,60,
619,"毀滅毒針",突,600,
620,"猙獰劈砍",魔法,60,
621,"猙獰光環",斬,60,
622,"荒蕪新星",魔法,60,
623,"地獄葬送",,250,
624,"猙獰命運",斬,60,
625,"十噸橫掃",打,60,
626,"十噸迴轉",打,60,
627,"百噸橫掃",打,60,
628,"百噸迴轉",打,450,
629,"怒視",魔法,200,
630,"野性",,0,
631,"眼魔之眼",魔法,0,
632,"火鱗甲",,300,
633,"利爪",魔法,30,
634,"黃寶石之光",魔法,0,
635,"硬化",,1200,
636,"衝撞",魔法,400,
637,"突風",魔法,30,
638,"吹飛",魔法,900,
639,"下行突風",魔法,0,
640,"綠寶石之光",,600,
641,"岩石破壞者",打,0,
642,"激震",魔法,0,
643,"山崩",打,0,
644,"大地重壓",,0,
645,"花崗岩牢獄",,0,
646,"タイタン：時限爆弾岩",,0,
647,"猙獰劈砍",魔法,30,
648,"猙獰命運",斬,80,
649,"荒蕪新星",魔法,80,
650,"地裂",打,0,
651,"大地撞擊",魔法,0,
652,"大地之怒",魔法,0,
653,"タイタン：心臓露出",,0,
654,"タイタン：飛ぶ",,0,
655,"タイタン：着地する",,0,
656,"烈風刃",魔法,0,
657,"下行突風",打,0,
658,"邪輪旋風",打,0,
659,"螺旋氣流",魔法,0,
660,"寒風之歌",魔法,0,
661,"寒風之嘯",魔法,0,
662,"大氣爆發",魔法,0,
663,"大旋風",魔法,0,
664,"颱風眼",魔法,0,
665,"羽槍",魔法,0,
666,"熱流",魔法,0,
667,"寒風之歌",魔法,0,
668,"海市蜃樓",,0,
669,"狂野喧囂",打,60,
670,"液體地獄",魔法,0,
671,"旋風",魔法,0,
672,"毀滅毒針",突,600,
673,"電磁學",打,0,
674,"防衛反應",魔法,0,
675,"火焰流",魔法,0,
676,"烈焰吐息",ブレス,60,
677,"自爆",魔法,60,
678,"自爆",魔法,60,
679,"轟炸",魔法,60,
680,"破魔震",魔法,120,
681,"凶眼注目",魔法,60,
682,"攻擊",斬,30,
683,"蒼白吐息",ブレス,120,
684,"ヒュドラ：首再生",,60,
685,"火球",ブレス,60,
686,"火球",ブレス,60,
687,"冰球",ブレス,60,
688,"冰球",ブレス,60,
689,"星光吐息",ブレス,100,
690,"抽星擊",打,60,
691,"勇猛的咆哮",,600,
692,"巨大抨擊",打,60,
693,"ヘカトンケイルリーダー：壁殴り",打,0,
694,"憤怒的咆哮",,450,
695,"ヘカトンケイルメイジ：壁殴り",打,0,
696,"汎用：逃げる",,0,
697,"震撼領域",打,200,
698,"黏網",,0,
699,"蜘蛛：コチュー落下予兆",,0,
700,"蜘蛛：コチュー落下",,0,
701,"蛛網屏",魔法,300,
702,"致命尾刺",打,200,
703,"蜘蛛：毒エリア",魔法,0,
704,"毒尾脫皮",,0,
705,"暗黑霧",魔法,400,
706,"虛無燈",,0,
707,"虛空火焰",魔法,0,
708,"ヒュドラ：右側首A破壊",,0,
709,"ヒュドラ：右側首B破壊",,0,
710,"ヒュドラ：左側首A破壊",,0,
711,"ヒュドラ：左側首B破壊",,0,
712,"ヒュドラ：右側首A復活",,0,
713,"ヒュドラ：右側首B復活",,0,
714,"ヒュドラ：左側首A復活",,0,
715,"ヒュドラ：左側首B復活",,0,
716,"猛者強擊",,60,
717,"先鋒劍",斬,60,
718,"盾牌猛擊",打,60,
719,"預警",,60,
720,"超壓斧",斬,60,
721,"飄羽步",,60,
722,"精準刺",突,60,
723,"箭雨",突,60,
724,"消化",打,60,
725,"流散",,60,
726,"流散",,60,
727,"流散",,60,
728,"流散",,60,
729,"汎用：詩人技：ヘヴィショット",突,60,
730,"毒液飛散",,0,
731,"吸血",,60,
732,"吸引",,0,
733,"噴發",魔法,0,
734,"光輝炎柱",魔法,0,
735,"瘴氣吐息",魔法,0,
736,"黑暗波動",魔法,0,
737,"戳刺",斬,60,
738,"電爭",魔法,60,
739,"染血爪",斬,60,
740,"恐怖眼",魔法,60,
741,"凱旋嚎叫",,60,
742,"黑色狂歡",,0,
743,"迷眼",,0,
744,"加速",,300,
745,"暗荊棘",魔法,0,
746,"失魂",魔法,200,
747,"",,0,
748,"",,0,
749,"啟示",魔法,0,
750,"邪視",魔法,0,
751,"混沌吐息",魔法,0,
752,"",,0,
753,"",,0,
754,"",,0,
755,"",,0,
756,"",,0,
757,"",,0,
758,"黑雲",魔法,0,
759,"穢暗",魔法,60,
760,"陰罰",魔法,0,
761,"",魔法,0,
762,"薄暮之刃",斬,240,
763,"斷罪",,0,
764,"大爆炸",魔法,0,
765,"超爆炸",魔法,0,
766,"放電",魔法,0,
767,"放電",魔法,0,
768,"隕星",打,0,
769,"飛散",打,0,
770,"霹靂",魔法,0,
771,"大漩渦",,0,
772,"大漩渦",魔法,0,
773,"野性利角",突,0,
774,"ベヒーモス：二本足",,0,
775,"呵斥",打,0,
776,"黃道隕石",魔法,0,
777,"攻擊",斬,0,
778,"神槍昆古尼爾",,0,
779,"玄鋼韁繩",,0,
780,"斬鐵劍",魔法,0,
781,"巨岩殿",,0,
782,"悔恨殿",魔法,0,
783,"屠戮結",魔法,0,
784,"遲緩殿",,0,
785,"英靈衝擊",魔法,0,
786,"鬥氣波動",突,0,
787,"岩石破壞者",魔法,30,
788,"山崩",魔法,0,
789,"大地守護",,1200,
790,"地裂",魔法,400,
791,"大地之怒",魔法,0,
792,"烈風刃",魔法,30,
793,"衝擊狂潮",魔法,900,
794,"大氣斬",魔法,0,
795,"歪風",,600,
796,"大氣爆發",魔法,0,
797,"深紅旋風",魔法,0,
798,"燃火強襲",魔法,30,
799,"輝煌盾",,600,
800,"烈焰碎擊",魔法,0,
801,"地獄之火炎",魔法,0,
802,"仙光的擁抱",魔法,30,
803,"仙光的低語",,0,
804,"異想的盟光",,1200,
805,"異想的幻光",,0,
806,"月光的擁抱",魔法,30,
807,"月光的沉默",,400,
808,"異想的熾光",,600,
809,"異想的輝光",,600,
810,"異想的柔光",,600,
811,"異想的流光",,600,
812,"",,0,
813,"",,0,
814,"",打,0,
815,"收藏品採集",,0,
816,"",,0,
817,"陸行鳥強擊",打,0,
818,"陸行鳥防禦",,0,
819,"陸行鳥踢擊",打,0,
820,"陸行鳥後撞",打,0,
821,"陸行鳥爆發",打,0,
822,"陸行鳥衝刺",打,0,
823,"陸行鳥猛啄",突,0,
824,"陸行鳥裂斬",打,0,
825,"陸行鳥醫治",魔法,0,
826,"陸行鳥波濤",魔法,0,
827,"陸行鳥療傷",魔法,0,
828,"陸行鳥再生",魔法,0,
829,"百烈拳",,600,
830,"汎用：絶対回避",,600,
831,"コボルド：大型爆弾",,300,
832,"コボルド：範囲被ダメージカット",,200,
833,"コボルド：範囲被ダメージカット強",,0,
834,"跳衝刺",突,200,
835,"奇襲",打,0,
836,"シュポシェ池：出現予兆",,0,
837,"シュポシェ池：予兆解除",,0,
838,"シュポシェ池：出現",,0,
839,"引爆炸彈",魔法,0,
840,"引爆大炸彈",魔法,0,
841,"",,0,
842,"",,0,
843,"",,0,
844,"",,0,
845,"",,0,
846,"",,0,
847,"",,0,
848,"",,0,
849,"",,0,
850,"",,0,
851,"",,0,
852,"",,0,
853,"",,0,
854,"虛空大火焰",魔法,300,
855,"虛空・中火焰",魔法,150,
856,"虛空大雷電",魔法,200,
857,"投擲炸彈",,0,
858,"二段突刺",突,25,
859,"冰棘屏障",,300,
860,"吸魂",ブレス,250,
861,"醉拳地獄突",打,60,
862,"引爆小炸彈",魔法,0,
863,"橡果炸裂彈",,60,
864,"烈焰碎擊",打,60,
865,"野性強擊",打,60,
866,"強突",突,60,
867,"召喚妖異",魔法,60,
868,"誘惑",,0,
869,"冰寒霧氣",,0,
870,"攻擊",斬,0,
871,"攻擊",突,0,
872,"攻擊",打,0,
873,"攻擊",突,0,
874,"攻擊",魔法,0,
875,"攻擊",魔法,0,
876,"攻擊",魔法,0,
877,"攻擊",魔法,0,
878,"攻擊",魔法,0,
879,"攻擊",魔法,0,
880,"攻擊",斬,0,
881,"攻擊",突,0,
882,"攻擊",打,0,
883,"攻擊",突,0,
884,"攻擊",魔法,0,
885,"攻擊",魔法,0,
886,"攻擊",魔法,0,
887,"攻擊",魔法,0,
888,"攻擊",魔法,0,
889,"攻擊",魔法,0,
890,"攻擊",斬,0,
891,"攻擊",突,0,
892,"攻擊",打,0,
893,"攻擊",突,0,
894,"攻擊",魔法,0,
895,"攻擊",魔法,0,
896,"攻擊",魔法,0,
897,"攻擊",魔法,0,
898,"攻擊",魔法,0,
899,"攻擊",魔法,0,
900,"龍捲風",魔法,0,
901,"利爪",斬,60,
902,"烈焰吐息",ブレス,60,
903,"重擊",打,0,
904,"嫩芽抽打",打,60,
905,"嫩芽迴旋",打,60,
906,"匍匐莖",,60,
907,"小鋼鉗",斬,60,
908,"FF11クラブ：泡ブレス",,60,
909,"改錐",斬,60,
910,"水牆",,60,
911,"暗天球",魔法,60,
912,"定罪",魔法,60,
913,"痛苦鞭",打,60,
914,"毒氣殼",,60,
915,"熊爪",打,60,
916,"絨毛羽",,60,
917,"狂風",魔法,60,
918,"蜂尾針",突,60,
919,"最終刺針",突,60,
920,"遠程爆破",魔法,60,
921,"風切斬",魔法,60,
922,"和風蔽體",,60,
923,"空翻",突,60,
924,"減速咒",,60,
925,"FF12ミリアムガード：マップOBJ召喚武器投げ",,0,
926,"FF12ミリアムガード：マップOBJ召喚4つ同時",,0,
927,"黑暗蠢動",魔法,300,
928,"黑暗",魔法,100,
929,"邊緣結界",魔法,0,
930,"結界衝擊",魔法,0,
931,"毒波",ブレス,60,
932,"三連爪",斬,60,
933,"駭人嚎叫",,60,
934,"致命射線",,300,
935,"尾部橫掃",打,100,
936,"粉碎銳牙",斬,60,
937,"壓潰",打,60,
938,"威嚇",,200,
939,"站裂斬",斬,60,
940,"俯跪衝",打,60,
941,"霉痰",魔法,0,
942,"古卜的悲傷",魔法,0,
943,"亂鞭",打,0,
944,"",,0,
945,"鋒利菜刀",斬,0,
946,"詛咒的危言",魔法,200,
947,"大家的怨恨",魔法,0,
948,"要害攻擊",突,0,
949,"詛咒的遺言",,0,
950,"吸氣",魔法,0,
951,"凶眼注目",魔法,100,
952,"アーリマン：仲間を呼ぶ",,0,
953,"青磷柱",魔法,50,
954,"火焰水槍",魔法,0,
955,"巨石衝",打,0,
956,"沙柱",魔法,50,
957,"沙柱",魔法,0,
958,"荒蕪新星",魔法,10,
959,"沙柱",魔法,0,
960,"ガーゴイル：暗黒沼発動",,0,
961,"透明：ガーゴイル暗黒沼発生",,0,
962,"瀝青海",魔法,0,
