key,0,1,2
#,Name,AttackType,Recast<100ms>
int32,str,int32,int32
131,"Méga Soin",magie,25,
132,"Extra Vent",magie,25,
133,"Extra Médica",magie,25,
134,"Aura aquatique",magie,300,
135,"Extra Soin",magie,25,
136,"Présence d'esprit",,1200,
137,"Récup",magie,25,
138,"Sceau divin",,600,
139,"Miracle",magie,25,
140,"Bénédiction",,1800,
141,"Feu",magie,25,
142,"Glace",magie,25,
143,"Stoïcisme",,300,
144,"Foudre",magie,25,
145,"Sommeil",magie,25,
146,"Extra Glace",magie,25,
147,"Extra Feu",magie,25,
148,"Extra Foudre",magie,25,
149,"Transposition",,50,
150,"Magie prompte",,600,
151,"Léthargie",magie,300,
152,"Méga Feu",magie,25,
153,"Méga Foudre",magie,25,
154,"Méga Glace",magie,25,
155,"Manipulation de l'éther",,100,
156,"Blessure",magie,25,
157,"Barrière de mana",,1200,
158,"Vasque de mana",,1200,
159,"Gel",magie,25,
160,"Apocatastase",,1800,
161,"Mur de mana",,1200,
162,"Brasier",magie,25,
163,"Ruine",magie,25,
164,"Bactérie",magie,25,
165,"Invocation",magie,30,
166,"Flux d'éther",,600,
167,"Aspiration d'énergie",magie,10,
168,"Miasmes",magie,25,
169,"Virus",magie,900,
170,"Invocation II",magie,30,
171,"Transfusion",magie,25,
172,"Extra Ruine",magie,25,
173,"Résurrection",magie,25,
174,"Fléau",magie,100,
175,"Œil pour œil",,1800,
176,"Stimulation",magie,600,
177,"Extra Miasmes",magie,25,
178,"Extra Bactérie",magie,25,
179,"Éruption ténébreuse",magie,600,
180,"Invocation III",magie,30,
181,"Suppuration",magie,10,
182,"Tri-entrave",magie,25,
183,"Encouragement",,1200,
184,"Galvanisation",,1800,
185,"Traité du réconfort",magie,25,
186,"Traité du soulagement",magie,25,
187,"Loi de purification",magie,25,
188,"Dogme de survie",,300,
189,"Loi de revivification",,10,
190,"Médecine",magie,25,
191,"Extra Cuirasse",magie,25,
192,"",magie,0,
193,"",,0,
194,"",,0,
195,"",,0,
196,"反撃効果",,0,
197,"Mur protecteur",transcendance,0,
198,"Citadelle",transcendance,0,
199,"Dernier bastion",transcendance,0,
200,"Ardeur courageuse",transcendance,0,
201,"Danse de la lame",transcendance,0,
202,"Paradis final",transcendance,0,
203,"Éclat de ciel",transcendance,0,
204,"Tempête d'étoiles",transcendance,0,
205,"Météore",transcendance,0,
206,"Vent curateur",transcendance,0,
207,"Souffle de la Terre",transcendance,0,
208,"Pulsation vitale",transcendance,0,
209,"Transcendance",magie,0,
210,"Forestier",,0,
211,"Dendrologie",,200,
212,"Furtivité",,0,
213,"Préparation",,0,
214,"Labeur du pionnier",,0,
215,"Sagesse du fermier",,0,
216,"Force du bûcheron",,0,
217,"Grâce de Nophica",,0,
218,"Maîtrise du terrain",,0,
219,"Grâce de Byregot",,0,
220,"Maîtrise du terrain II",,0,
221,"Science des végétaux",,0,
222,"Récolte bénie",,0,
223,"",tranchant,0,
224,"Récolte bénie II",,0,
225,"Main verte",,0,
226,"Main verte II",,0,
227,"Prospecteur",,0,
228,"Géologie",,200,
229,"Furtivité",,0,
230,"Préparation",,0,
231,"Labeur du montagnard",,0,
232,"Raison solide",,0,
233,"Vigueur endurante",,0,
234,"Grâce de Nald'thal",,0,
235,"Vue perçante",,0,
236,"Grâce de Menphina",,0,
237,"Vue perçante II",,0,
238,"Science des minéraux",,0,
239,"Récolte royale",,0,
240,"Récolte",,0,
241,"Récolte royale II",,0,
242,"Déterrage",,0,
243,"Déterrage II",,0,
244,"Main sûre",,0,
245,"Main sûre",,0,
246,"Main sûre",,0,
247,"Main sûre",,0,
248,"Main sûre",,0,
249,"Main sûre",,0,
250,"Main sûre",,0,
251,"Main sûre",,0,
252,"Calme intérieur",,0,
253,"Calme intérieur",,0,
254,"Calme intérieur",,0,
255,"Calme intérieur",,0,
256,"Calme intérieur",,0,
257,"Calme intérieur",,0,
258,"Calme intérieur",,0,
259,"Calme intérieur",,0,
260,"Grands progrès",,0,
261,"Grands progrès",,0,
262,"Grands progrès",,0,
263,"Grands progrès",,0,
264,"Grands progrès",,0,
265,"Grands progrès",,0,
266,"Grands progrès",,0,
267,"Grands progrès",,0,
268,"Pêche au vif II",,1800,
269,"Ferrage double",,0,
270,"Déterrage III",,0,
271,"Main verte III",,0,
272,"Extraction abondante II",,0,
273,"Récolte abondante II",,0,
274,"Signe de Nald'thal",,0,
275,"Signe de Nophica",,0,
276,"Relaxation",,0,
277,"Ingéniosité",,0,
278,"Manipulation",,0,
279,"Parcimonie",,0,
280,"Bénédiction des Douze",,0,
281,"Main sûre II",,0,
282,"Bénédiction des Douze",,0,
283,"Ingéniosité II",,0,
284,"Innovation",,0,
285,"Parcimonie II",,0,
286,"Zone de confort",,0,
287,"Récupération",,0,
288,"Appât",,0,
289,"Pêche",,0,
290,"Dendrologie II",,200,
291,"Géologie II",,200,
292,"Grâce de Llymlaen",,0,
293,"Grâce de Thaliak",,0,
294,"Maîtrise du terrain III",,0,
295,"Vue perçante III",,0,
296,"Ferrage",,0,
297,"Pêche au vif",,0,
298,"Furtivité",,0,
299,"Abandon",,0,
300,"Remise à l'eau",,0,
301,"Évaluation impulsive II",,0,
302,"Évaluation impulsive II",,0,
303,"Discrétion",,0,
304,"Discrétion",,0,
305,"Discrétion",,0,
306,"",,0,
307,"Silence",,300,
308,"Paralysie",,300,
309,"Hâte",,300,
310,"Lenteur",,300,
311,"Pointes de feu",,300,
312,"Pointes de glace",,300,
313,"Pointes de foudre",,300,
314,"Cuirasse physique",,300,
315,"Cuirasse magique",,300,
316,"Cuirasse",,300,
317,"Haleine fétide",souffle,60,
318,"Souffle glacé",souffle,60,
319,"Coup de sabot",contondant,60,
320,"Débandade",contondant,60,
321,"Grandes cornes",contondant,60,
322,"Lapidation",perforant,30,
323,"Frottement salissant",,60,
324,"Griffure profonde",,60,
325,"Coup de tonnerre",magie,60,
326,"Tempête de foudre",,60,
327,"Toile gluante",,60,
328,"Aspersion caustique",,60,
329,"Transpercement mortel",perforant,60,
330,"Transpercement mortel",,60,
331,"Aile tranchante",magie,60,
332,"Croassement glaçant",,60,
333,"Lâcher d'œuf",,60,
334,"Charge porcine",contondant,60,
335,"Hérissement",,60,
336,"Grognement puissant",,150,
337,"Auto-destruction",magie,60,
338,"Ignition",,60,
339,"Déflagration",,60,
340,"Mortification",,60,
341,"Taillade infernale",tranchant,60,
342,"Aspiration d'âme",souffle,60,
343,"Malédiction funeste",,60,
344,"Volée de graines",perforant,30,
345,"Murmure amer",,60,
346,"Murmure rapide",magie,60,
347,"Langue poisseuse",contondant,60,
348,"Huile de crapaud",,60,
349,"Lapement alangui",,60,
350,"Micro électrochoc",,60,
351,"Poil survolté",,60,
352,"Œil du chaos",,60,
353,"Électrochoc",,60,
354,"Curiosité",,60,
355,"Méga électrochoc",magie,60,
356,"Justice de fer",tranchant,60,
357,"Volonté du roi",,60,
358,"Lame de souffrance",,60,
359,"Lame d'absolution",,60,
360,"Lame de repentir",,60,
361,"Lame plate",tranchant,60,
362,"Explosion mentale",magie,60,
363,"Toucher aspirant",contondant,200,
364,"Brume acide",,60,
365,"Brume acide",,60,
366,"Brume acide",,60,
367,"Brume acide",,60,
368,"Jet de boue",,60,
369,"Lapidation",perforant,60,
370,"Bombardier",contondant,60,
371,"Infestation",,60,
372,"Pourrissement",,60,
373,"Pirouette tranchante",contondant,60,
374,"Coquille",,60,
375,"Coquille",,60,
376,"Coquille",,60,
377,"Trottinement",,60,
378,"Suceur de sang",souffle,60,
379,"Ultrasons",,60,
380,"Ultrasons",,60,
381,"Décharge aqueuse",magie,60,
382,"Décharge visqueuse",,60,
383,"Décharge glaireuse",,60,
384,"Agitation",contondant,60,
385,"Agitation",contondant,60,
386,"Agitation",contondant,60,
387,"Mâchoire claquante",tranchant,60,
388,"Crachat corrosif",,60,
389,"Crachat corrosif",,60,
390,"Probiscis",perforant,60,
391,"Suceur de sang",perforant,60,
392,"Suceur de sang",,60,
393,"Explosion aveuglante",,60,
394,"Lumière lénifiante",,60,
395,"Membres de plomb",,60,
396,"Hyphe fouettante",contondant,60,
397,"Nuage nauséeux",,60,
398,"Nuage soporifique",,60,
399,"Cabrioles",contondant,60,
400,"Gigue endiablée",,60,
401,"Frénésie furieuse",contondant,60,
402,"Hâte",,60,
403,"Fortis",,60,
404,"Celeris",,60,
405,"Lancer de bombe",magie,60,
406,"Lancer de bombe",magie,60,
407,"Pluie de pétards",,150,
408,"Crécelle sauvage",contondant,60,
409,"Croc empoisonné",,60,
410,"Regard pétrifiant",,300,
411,"Flip ailé",contondant,60,
412,"Chasse-queue",contondant,60,
413,"Boule de feu",magie,60,
414,"Vrombissement",magie,60,
415,"Claquement de fouet",contondant,60,
416,"Langue dorée",,60,
417,"Démarche de tortue",contondant,60,
418,"Durcissement de coquille",,60,
419,"Entaille latérale",tranchant,60,
420,"Pierre à aiguiser",,600,
421,"Coup de rage",,200,
422,"Grande claque",contondant,60,
423,"Tempête proche",,60,
424,"Bourrasque véloce",,60,
425,"Reflet",,600,
426,"EndoFeu",,300,
427,"EndoGlace",,300,
428,"EndoVent",,300,
429,"EndoTerre",,300,
430,"EndoFoudre",,300,
431,"EndoEau",,300,
432,"Drain",souffle,30,
433,"",,0,
434,"",,0,
435,"",,0,
436,"",magie,0,
437,"",magie,0,
438,"",magie,0,
439,"",,0,
440,"Canopée",contondant,60,
441,"Tempête arboricole",contondant,60,
442,"Gland explosif",,60,
443,"Crâne de pierre",contondant,60,
444,"Claquement de rochers",contondant,60,
445,"Gravillonnage",souffle,60,
446,"Souffle du dragon",souffle,60,
447,"Apparition",,0,
448,"Eau stagnante",magie,60,
449,"Lumière inquiétante",,60,
450,"Lumière sinistre",,60,
451,"Attaque",tranchant,0,
452,"Carbonisation",magie,0,
453,"Incinération",souffle,0,
454,"Explosion volcanique",magie,0,
455,"Éruption",,0,
456,"Panache radiant",,0,
457,"Cyclone écarlate",magie,0,
458,"Flammes de l'enfer",magie,0,
459,"イフリート：ジャンプ",,0,
460,"イフリート：着地",,0,
461,"イフリート：炎獄の楔召喚",,0,
462,"イフリート：角復活",,0,
463,"イフリート：怒りオン",,0,
464,"炎獄の楔：出現",,0,
465,"炎獄の楔：死亡",,0,
466,"",,0,
467,"",,0,
468,"",,0,
469,"",,0,
470,"",,0,
471,"",,0,
472,"",,0,
473,"",,0,
474,"Ardeur barbare",,60,
475,"Triple menace",contondant,60,
476,"Jeu de jambes",,60,
477,"Étripement",,600,
478,"Revers de branche",contondant,60,
479,"Hauts et bas",contondant,60,
480,"Photosynthèse",,0,
481,"Photorespiration",,0,
482,"Brise-plaine",magie,60,
483,"Éboulement",contondant,60,
484,"Calcification",,0,
485,"汎用：詩人技：回避アップ歌",,60,
486,"汎用：詩人技：攻撃アップ歌",,60,
487,"汎用：詩人技：防御アップ歌",,60,
488,"Caresse empoisonnée",,300,
489,"Douceur du fer",tranchant,60,
490,"Dévastation",contondant,60,
491,"Fulminement",,60,
492,"Flèche perçante",,0,
493,"汎用：巴術技：単体スロウ",,60,
494,"汎用：巴術技：単体防御DOWN",,60,
495,"Désorientation",,300,
496,"Jet de sable",,60,
497,"Charge physique",contondant,60,
498,"Regard tétanisant",,300,
499,"Regard pétrifiant",,300,
500,"Course folle",,60,
501,"50 aiguilles",perforant,60,
502,"100 aiguilles",perforant,60,
503,"1000 aiguilles",perforant,60,
504,"Bec marteau",perforant,60,
505,"Pétrihaleine",,300,
506,"Haleine engourdissante",,300,
507,"Haleine empoisonnée",,300,
508,"Haleine soporifique",,300,
509,"Hurlement",,60,
510,"Morsure fétide",perforant,60,
511,"Morsure vampirique",tranchant,60,
512,"Regard maudit",,300,
513,"Regard terrifiant",,300,
514,"Pétrification niveau 5",,0,
515,"Vulcanisation",,60,
516,"Éclatement",magie,60,
517,"Cyclone brûlant",magie,60,
518,"Électrocution terrestre",magie,60,
519,"Croc électrique",,60,
520,"Coup de tête",contondant,60,
521,"Cri sismique",,60,
522,"Lanoline",,300,
523,"Mâchoires piégeantes",perforant,60,
524,"Jet d'acide",magie,60,
525,"Canon-foreur",perforant,60,
526,"Forage de cermet",perforant,60,
527,"Surcharge",magie,60,
528,"Souffle de sable",souffle,60,
529,"Tempête de sable",souffle,60,
530,"Haleine empoisonnée",souffle,60,
531,"Brisement de terre",magie,0,
532,"Tremblement de terre",magie,60,
533,"Pilier de sable",magie,20,
534,"Grande épée",tranchant,60,
535,"Grande frappe",magie,60,
536,"Perturbateur",,60,
537,"Rayon magitek",magie,60,
538,"Surchauffe",,60,
539,"Échappement",magie,60,
540,"Champ magitek",,60,
541,"Grignotement",perforant,60,
542,"Aspersion marine",,60,
543,"Aspersion de sable",,60,
544,"Frénésie vorace",,60,
545,"Pilon pulvérisant",contondant,60,
546,"Fissure sismique",,60,
547,"Fissure sismique",magie,60,
548,"Khoomii",magie,60,
549,"Éruption sonore",,60,
550,"Encierro",contondant,60,
551,"Pelage de terre",,60,
552,"Jet d'épines",perforant,60,
553,"Bénédiction du Titan",,60,
554,"Colère du Titan",magie,60,
555,"Tir d'eau",magie,60,
556,"Hydroballe",magie,300,
557,"Lacération",tranchant,60,
558,"Claquement baveux",perforant,120,
559,"Souffle de dragon",souffle,200,
560,"Pluie de granite",contondant,240,
561,"Coup de pied tournant",contondant,300,
562,"Explosion du sol",magie,60,
563,"Vomi toxique",souffle,150,
564,"Atterrissage",contondant,0,
565,"カラードラゴン：飛び立ち消滅",,0,
566,"Averse de bulles",magie,60,
567,"Grosses pinces",tranchant,60,
568,"Bain de bulles",,60,
569,"Bave de crabe",tranchant,60,
570,"Picorage",perforant,60,
571,"Odeur nauséabonde",magie,60,
572,"Rot rance",magie,60,
573,"Sardine volante",perforant,60,
574,"Dégorgement",,60,
575,"Écrasement",contondant,60,
576,"Inhalation",,60,
577,"Avale",,60,
578,"Crache",,60,
579,"Éternuement moisi",magie,60,
580,"Éternuement maladif",magie,60,
581,"Trou noir",,0,
582,"Trou de ver",,0,
583,"Regard intense",magie,60,
584,"Haleine pourrie",magie,250,
585,"Maléfice",magie,60,
586,"Malveillance",magie,60,
587,"Imprégnation",,60,
588,"Tentacules paralysants",perforant,60,
589,"Tentacules irritants",perforant,60,
590,"Bêlement",,60,
591,"Derrière laineux",contondant,60,
592,"Berceuse",,60,
593,"Bouquet floral",,60,
594,"Cri",,60,
595,"Catapulte",contondant,60,
596,"Beuglement bestial",magie,60,
597,"ドラゴン毒沼：発生ループ",magie,0,
598,"ドラゴン毒沼：消滅",,0,
599,"Aqua Vitae",,60,
600,"Poudre d'os",magie,60,
601,"Claquement de bec",contondant,60,
602,"Hurlement aspirant",magie,60,
603,"Beuglement",magie,60,
604,"Mauvaise haleine",,300,
605,"Douce haleine",,60,
606,"Sarment empalant",perforant,60,
607,"Manœuvre de défense",,60,
608,"Déchiquetage",perforant,60,
609,"La Main",contondant,60,
610,"Étreinte mortelle",magie,0,
611,"デスクロー：デスクロー解除",,0,
612,"Direct",contondant,60,
613,"Descente de coude",contondant,60,
614,"Brûlures d'estomac",magie,60,
615,"Distraction",,60,
616,"Mains brûlantes",,60,
617,"Cornes brûlantes",,60,
618,"Double fracas",contondant,60,
619,"Queue corrompue",perforant,600,
620,"Couperet funeste",magie,60,
621,"Halo funeste",tranchant,60,
622,"Affliction",magie,60,
623,"Envoyé des enfers",,250,
624,"Destin funeste",tranchant,60,
625,"Fauche de 10 tonz",contondant,60,
626,"Swing de 10 tonz",contondant,60,
627,"Fauche de 100 tonz",contondant,60,
628,"Swing de 100 tonz",contondant,450,
629,"Regard noir",magie,200,
630,"Instinct animal",,0,
631,"Œil de l'observateur",magie,0,
632,"Écailles incandescentes",,300,
633,"Griffes",magie,30,
634,"Topaze scintillante",magie,0,
635,"Pelotonnement",,1200,
636,"Charge",magie,400,
637,"Coup de vent",magie,30,
638,"Éjection",magie,900,
639,"Rafale descendante",magie,0,
640,"Émeraude scintillante",,600,
641,"Casse-roc",contondant,0,
642,"Tumulte",magie,0,
643,"Casse-montagnes",contondant,0,
644,"Poids de la terre",,0,
645,"Jeté de rocs",,0,
646,"Jeté de blocs",,0,
647,"Couperet funeste",magie,30,
648,"Destin funeste",tranchant,80,
649,"Affliction",magie,80,
650,"Glissement de terrain",contondant,0,
651,"Broie-terre",magie,0,
652,"Fureur tellurique",magie,0,
653,"タイタン：心臓露出",,0,
654,"タイタン：飛ぶ",,0,
655,"タイタン：着地する",,0,
656,"Lame de vent",magie,0,
657,"Rafale descendante",contondant,0,
658,"Roue mauvaise",contondant,0,
659,"Sillage",magie,0,
660,"Chant du mistral",magie,0,
661,"Cri du mistral",magie,0,
662,"Rafale aérienne",magie,0,
663,"Grand tourbillon",magie,0,
664,"Œil du cyclone",magie,0,
665,"Lance de plume",magie,0,
666,"Tumulte thermique",magie,0,
667,"Chant du mistral",magie,0,
668,"Mirage",,0,
669,"Crécelle sauvage",contondant,60,
670,"Enfer liquide",magie,0,
671,"Grande trombe",magie,0,
672,"Queue corrompue",perforant,600,
673,"Électromagnétisme",contondant,0,
674,"Attaque",magie,0,
675,"Courants de feu",magie,0,
676,"Pyrosouffle",souffle,60,
677,"Auto-destruction",magie,60,
678,"Auto-destruction",magie,60,
679,"Canon de mana",magie,60,
680,"Oblitération",magie,120,
681,"Œil sur moi",magie,60,
682,"Attaque",tranchant,30,
683,"Souffle blanc",souffle,120,
684,"ヒュドラ：首再生",,60,
685,"Boule de flammes",souffle,60,
686,"Boule de flammes",souffle,60,
687,"Boule de glace",souffle,60,
688,"Boule de glace",souffle,60,
689,"Souffle radiant",souffle,100,
690,"バジリスク：尻尾攻撃",contondant,60,
691,"Cri cannibale",,600,
692,"Coup colossal",contondant,60,
693,"ヘカトンケイルリーダー：壁殴り",contondant,0,
694,"Cri vigoureux",,450,
695,"ヘカトンケイルメイジ：壁殴り",contondant,0,
696,"汎用：逃げる",,0,
697,"Secousse tellurique",contondant,200,
698,"Toile gluante",,0,
699,"蜘蛛：コチュー落下予兆",,0,
700,"蜘蛛：コチュー落下",,0,
701,"Écran de soie",magie,300,
702,"Transpercement mortel",contondant,200,
703,"蜘蛛：毒エリア",magie,0,
704,"Mue de la queue",,0,
705,"Brume funèbre",magie,400,
706,"Lanterne du néant",,0,
707,"Feu du néant",magie,0,
708,"ヒュドラ：右側首A破壊",,0,
709,"ヒュドラ：右側首B破壊",,0,
710,"ヒュドラ：左側首A破壊",,0,
711,"ヒュドラ：左側首B破壊",,0,
712,"ヒュドラ：右側首A復活",,0,
713,"ヒュドラ：右側首B復活",,0,
714,"ヒュドラ：左側首A復活",,0,
715,"ヒュドラ：左側首B復活",,0,
716,"Tir furieux",,60,
717,"Lame rapide",tranchant,60,
718,"Coup de bouclier",contondant,60,
719,"Sentinelle",,60,
720,"Domination",tranchant,60,
721,"Pieds légers",,60,
722,"Percée véritable",perforant,60,
723,"Rafale impitoyable",perforant,60,
724,"Digestion",contondant,60,
725,"Dispersion de liquide",,60,
726,"Dispersion de liquide",,60,
727,"Dispersion de liquide",,60,
728,"Dispersion de liquide",,60,
729,"汎用：詩人技：ヘヴィショット",perforant,60,
730,"Gousse explosive",,0,
731,"Suceur de sang",,60,
732,"Doigts de soie",,0,
733,"Éruption",magie,0,
734,"Panache radiant",magie,0,
735,"Souffle miasmatique",magie,0,
736,"Vague de ténèbres",magie,0,
737,"Charge",tranchant,60,
738,"Rixe électrique",magie,60,
739,"Griffe sanglante",tranchant,60,
740,"Œil de la terreur",magie,60,
741,"Rugissement triomphant",,60,
742,"Réjouissance noire",,0,
743,"Jet de boue",,0,
744,"Hâte",,300,
745,"Épine ténébreuse",magie,0,
746,"Assombrissement des âmes",magie,200,
747,"",,0,
748,"",,0,
749,"Apocalypse",magie,0,
750,"Œil maléfique",magie,0,
751,"Souffle chaotique",magie,0,
752,"",,0,
753,"",,0,
754,"",,0,
755,"",,0,
756,"",,0,
757,"",,0,
758,"Nuage noir",magie,0,
759,"Pénombre accablante",magie,60,
760,"Nubem horribilis",magie,0,
761,"",magie,0,
762,"Lame crépusculaire",tranchant,240,
763,"Knout",,0,
764,"Explosion",magie,0,
765,"Fulmination",magie,0,
766,"Décharge électrostatique",magie,0,
767,"Décharge électrostatique",magie,0,
768,"Comète",contondant,0,
769,"Éclats cosmique",contondant,0,
770,"Éclair",magie,0,
771,"Charybde",,0,
772,"Charybde",magie,0,
773,"Corne sauvage",perforant,0,
774,"ベヒーモス：二本足",,0,
775,"Écrabouillement",contondant,0,
776,"Météore écliptique",magie,0,
777,"Attaque",tranchant,0,
778,"Gungnir",,0,
779,"Rênes de sombracier",,0,
780,"Zantetsuken",magie,0,
781,"Hall de pierres",,0,
782,"Hall du chagrin",magie,0,
783,"Valknut",magie,0,
784,"Hall de plomb",,0,
785,"Einherjar",magie,0,
786,"Désespérance",perforant,0,
787,"Casse-roc",magie,30,
788,"Casse-montagnes",magie,0,
789,"Barrière terrestre",,1200,
790,"Glissement de terrain",magie,400,
791,"Fureur tellurique",magie,0,
792,"Lame de vent",magie,30,
793,"Onde de choc",magie,900,
794,"Taillade aérienne",magie,0,
795,"Contagion",,600,
796,"Rafale aérienne",magie,0,
797,"Cyclone écarlate",magie,0,
798,"Frappe ardente",magie,30,
799,"Bouclier radiant",,600,
800,"Fracassement flamboyant",magie,0,
801,"Flammes de l'enfer",magie,0,
802,"Embrassement",magie,30,
803,"Murmure de l'aurore",,0,
804,"Alliance féerique",,1200,
805,"Illumination féerique",,0,
806,"Embrassement",magie,30,
807,"Silence de l'aurore",,400,
808,"Lueur féerique",,600,
809,"Lumière féerique",,600,
810,"Caresse féerique",,600,
811,"Vent féerique",,600,
812,"",,0,
813,"",,0,
814,"",contondant,0,
815,"Récolte",,0,
816,"",,0,
817,"Choco-frappe",contondant,0,
818,"Choco-garde",,0,
819,"Choco-serres",contondant,0,
820,"Choco-saut",contondant,0,
821,"Choco-explosion",contondant,0,
822,"Choco-ruée",contondant,0,
823,"Choco-bec",perforant,0,
824,"Choco-taillade",contondant,0,
825,"Choco-médica",magie,0,
826,"Choco-ardeur",magie,0,
827,"Choco-soin",magie,0,
828,"Choco-récup",magie,0,
829,"Cent poings",,600,
830,"汎用：絶対回避",,600,
831,"コボルド：大型爆弾",,300,
832,"コボルド：範囲被ダメージカット",,200,
833,"コボルド：範囲被ダメージカット強",,0,
834,"Percée bondissante",perforant,200,
835,"Embuscade",contondant,0,
836,"シュポシェ池：出現予兆",,0,
837,"シュポシェ池：予兆解除",,0,
838,"シュポシェ池：出現",,0,
839,"Détonation",magie,0,
840,"Détonation massive",magie,0,
841,"",,0,
842,"",,0,
843,"",,0,
844,"",,0,
845,"",,0,
846,"",,0,
847,"",,0,
848,"",,0,
849,"",,0,
850,"Appel du compagnon",,0,
851,"",,0,
852,"",,0,
853,"",,0,
854,"Méga Feu du néant",magie,300,
855,"Extra Feu du néant",magie,150,
856,"Méga Foudre du néant",magie,200,
857,"Bombardement",,0,
858,"Double percée",perforant,25,
859,"Pointes de glace",,300,
860,"Aspiration d'âme",souffle,250,
861,"Poings ivres",contondant,60,
862,"Mini-détonation",magie,0,
863,"Gland apocalyptique",,60,
864,"Fracassement flamboyant",contondant,60,
865,"Étripeur",contondant,60,
866,"Arrêt du cœur",perforant,60,
867,"Appel du néant",magie,60,
868,"Séduction",,0,
869,"Brume glacée",,0,
870,"Attaque",tranchant,0,
871,"Attaque",perforant,0,
872,"Attaque",contondant,0,
873,"Attaque",perforant,0,
874,"Attaque",magie,0,
875,"Attaque",magie,0,
876,"Attaque",magie,0,
877,"Attaque",magie,0,
878,"Attaque",magie,0,
879,"Attaque",magie,0,
880,"Attaque",tranchant,0,
881,"Attaque",perforant,0,
882,"Attaque",contondant,0,
883,"Attaque",perforant,0,
884,"Attaque",magie,0,
885,"Attaque",magie,0,
886,"Attaque",magie,0,
887,"Attaque",magie,0,
888,"Attaque",magie,0,
889,"Attaque",magie,0,
