key,0,1,2
#,Name,AttackType,Recast<100ms>
int32,str,int32,int32
77,"Keen Flurry",,900,
78,"Vorpal Thrust",,25,
79,"Heavy Thrust",,25,
80,"Invigorate",,1200,
81,"Impulse Drive",,25,
82,"Leg Sweep",,300,
83,"Life Surge",,400,
84,"Full Thrust",,25,
85,"Lance Charge",,600,
86,"Doom Spike",,25,
87,"Disembowel",,25,
88,"Chaos Thrust",,25,
89,"Ring of Thorns",,25,
90,"Piercing Talon",,25,
91,"Phlebotomize",,25,
92,"Jump",,300,
93,"Power Surge",,600,
94,"Elusive Jump",,300,
95,"Spineshatter Dive",,600,
96,"Dragonfire Dive",,1200,
97,"Heavy Shot",,25,
98,"Straight Shot",,25,
99,"Hawk's Eye",,900,
100,"Venomous Bite",,25,
101,"Raging Strikes",,1200,
102,"Flaming Arrow",,600,
103,"Misery's End",,120,
104,"Quelling Strikes",,1200,
105,"Swiftsong",魔法,25,
106,"Quick Nock",,25,
107,"Barrage",,1200,
108,"Shadowbind",,400,
109,"Blunt Arrow",,300,
110,"Bloodletter",,150,
111,"Wide Volley",,25,
112,"Repelling Shot",,300,
113,"Windbite",,25,
114,"Mage's Ballad",魔法,1200,
115,"Foe Requiem",魔法,25,
116,"Army's Paeon",魔法,1200,
117,"Rain of Death",,150,
118,"Battle Voice",,1200,
119,"Stone",魔法,25,
120,"Cure",魔法,25,
121,"Aero",魔法,25,
122,"Cleric Stance",,50,
123,"Protect",魔法,25,
124,"Medica",魔法,25,
125,"Raise",魔法,25,
126,"Esuna",魔法,25,
127,"Stone II",魔法,25,
128,"Repose",魔法,25,
129,"Stoneskin",魔法,25,
130,"Shroud of Saints",,1200,
131,"Cure III",魔法,25,
132,"Aero II",魔法,25,
133,"Medica II",魔法,25,
134,"Fluid Aura",魔法,300,
135,"Cure II",魔法,25,
136,"Presence of Mind",,1200,
137,"Regen",魔法,25,
138,"Divine Seal",,600,
139,"Holy",魔法,25,
140,"Benediction",,1800,
141,"Fire",魔法,25,
142,"Blizzard",魔法,25,
143,"Surecast",,300,
144,"Thunder",魔法,25,
145,"Sleep",魔法,25,
146,"Blizzard II",魔法,25,
147,"Fire II",魔法,25,
148,"Thunder II",魔法,25,
149,"Transpose",,50,
150,"Swiftcast",,600,
151,"Lethargy",魔法,300,
152,"Fire III",魔法,25,
153,"Thunder III",魔法,25,
154,"Blizzard III",魔法,25,
155,"Aetherial Manipulation",,100,
156,"Scathe",魔法,25,
157,"Manaward",,1200,
158,"Manafont",,1200,
159,"Freeze",魔法,25,
160,"Apocatastasis",,1800,
161,"Manawall",,1200,
162,"Flare",魔法,25,
163,"Ruin",魔法,25,
164,"Bio",魔法,25,
165,"Summon",魔法,30,
166,"Aetherflow",,600,
167,"Energy Drain",魔法,10,
168,"Miasma",魔法,25,
169,"Virus",魔法,900,
170,"Summon II",魔法,30,
171,"Sustain",魔法,25,
172,"Ruin II",魔法,25,
173,"Resurrection",魔法,25,
174,"Bane",魔法,100,
175,"Eye for an Eye",,1800,
176,"Rouse",魔法,600,
177,"Miasma II",魔法,25,
178,"Bio II",魔法,25,
179,"Shadow Flare",魔法,600,
180,"Summon III",魔法,30,
181,"Fester",魔法,10,
182,"Tri-bind",魔法,25,
183,"Spur",,1200,
184,"Enkindle",,1800,
185,"Adloquium",魔法,25,
186,"Succor",魔法,25,
187,"Leeches",魔法,25,
188,"Sacred Soil",,300,
189,"Lustrate",,10,
190,"Physick",魔法,25,
191,"Stoneskin II",魔法,25,
192,"",魔法,0,
193,"",,0,
194,"",,0,
195,"",,0,
196,"反撃効果",,0,
197,"Shield Wall",リミットブレイク,0,
198,"Stronghold",リミットブレイク,0,
199,"Last Bastion",リミットブレイク,0,
200,"Braver",リミットブレイク,0,
201,"Bladedance",リミットブレイク,0,
202,"Final Heaven",リミットブレイク,0,
203,"Skyshard",リミットブレイク,0,
204,"Starstorm",リミットブレイク,0,
205,"Meteor",リミットブレイク,0,
206,"Healing Wind",リミットブレイク,0,
207,"Breath of the Earth",リミットブレイク,0,
208,"Pulse of Life",リミットブレイク,0,
209,"Limit Break",魔法,0,
210,"Triangulate",,0,
211,"Arbor Call",,200,
212,"Stealth",,0,
213,"Preparation",,0,
214,"Toil of the Pioneer",,0,
215,"Ageless Words",,0,
216,"Brunt Force",,0,
217,"Nophica's Ward",,0,
218,"Field Mastery",,0,
219,"Byregot's Ward",,0,
220,"Field Mastery II",,0,
221,"Truth of Forests",,0,
222,"Blessed Harvest",,0,
223,"",斬,0,
224,"Blessed Harvest II",,0,
225,"Leaf Turn",,0,
226,"Leaf Turn II",,0,
227,"Prospect",,0,
228,"Lay of the Land",,200,
229,"Stealth",,0,
230,"Preparation",,0,
231,"Toil of the Mountaineer",,0,
232,"Solid Reason",,0,
233,"Deep Vigor",,0,
234,"Nald'thal's Ward",,0,
235,"Sharp Vision",,0,
236,"Menphina's Ward",,0,
237,"Sharp Vision II",,0,
238,"Truth of Mountains",,0,
239,"King's Yield",,0,
240,"Collect",,0,
241,"King's Yield II",,0,
242,"Unearth",,0,
243,"Unearth II",,0,
244,"Steady Hand",,0,
245,"Steady Hand",,0,
246,"Steady Hand",,0,
247,"Steady Hand",,0,
248,"Steady Hand",,0,
249,"Steady Hand",,0,
250,"Steady Hand",,0,
251,"Steady Hand",,0,
252,"Inner Quiet",,0,
253,"Inner Quiet",,0,
254,"Inner Quiet",,0,
255,"Inner Quiet",,0,
256,"Inner Quiet",,0,
257,"Inner Quiet",,0,
258,"Inner Quiet",,0,
259,"Inner Quiet",,0,
260,"Great Strides",,0,
261,"Great Strides",,0,
262,"Great Strides",,0,
263,"Great Strides",,0,
264,"Great Strides",,0,
265,"Great Strides",,0,
266,"Great Strides",,0,
267,"Great Strides",,0,
268,"Mooch II",,1800,
269,"Double Hook",,0,
270,"Unearth III",,0,
271,"Leaf Turn III",,0,
272,"Bountiful Yield II",,0,
273,"Bountiful Harvest II",,0,
274,"Nald'thal's Counsel",,0,
275,"Nophica's Counsel",,0,
276,"Rumination",,0,
277,"Ingenuity",,0,
278,"Manipulation",,0,
279,"Waste Not",,0,
280,"the Twelve's Bounty",,0,
281,"Steady Hand II",,0,
282,"the Twelve's Bounty",,0,
283,"Ingenuity II",,0,
284,"Innovation",,0,
285,"Waste Not II",,0,
286,"Comfort Zone",,0,
287,"Reclaim",,0,
288,"Bait",,0,
289,"Cast",,0,
290,"Arbor Call II",,200,
291,"Lay of the Land II",,200,
292,"Llymlaen's Ward",,0,
293,"Thaliak's Ward",,0,
294,"Field Mastery III",,0,
295,"Sharp Vision III",,0,
296,"Hook",,0,
297,"Mooch",,0,
298,"Stealth",,0,
299,"Quit",,0,
300,"Release",,0,
301,"Impulsive Appraisal II",,0,
302,"Impulsive Appraisal II",,0,
303,"Sneak",,0,
304,"Sneak",,0,
305,"Sneak",,0,
306,"",,0,
307,"Silence",,300,
308,"Paralyze",,300,
309,"Haste",,300,
310,"Slow",,300,
311,"Blaze Spikes",,300,
312,"Ice Spikes",,300,
313,"Shock Spikes",,300,
314,"物理ストンスキン",,300,
315,"魔法ストンスキン",,300,
316,"Stoneskin",,300,
317,"Foul Breath",ブレス,60,
318,"Frost Breath",ブレス,60,
319,"Hoofkick",打,60,
320,"Stampede",打,60,
321,"Big Horn",打,60,
322,"Stone Throw",突,30,
323,"Soil Smear",,60,
324,"Greedy Grab",,60,
325,"Thunderstrike",魔法,60,
326,"Thunderstorm",,60,
327,"Sticky Web",,60,
328,"Caustic Spray",,60,
329,"Deadly Thrust",突,60,
330,"Deadly Thrust",,60,
331,"Wing Cutter",魔法,60,
332,"Bloodcurdling Caw",,60,
333,"Yolk Shower",,60,
334,"Reckless Charge",打,60,
335,"Bristle",,60,
336,"Bellowing Grunt",,150,
337,"Self-destruct",魔法,60,
338,"Combustion",,60,
339,"Deflagration",,60,
340,"Mortify",,60,
341,"Hell Slash",斬,60,
342,"Soul Drain",ブレス,60,
343,"Doomsay",,60,
344,"Seedvolley",突,30,
345,"Sour Sough",,60,
346,"Swift Sough",魔法,60,
347,"Sticky Tongue",打,60,
348,"Toad Oil",,60,
349,"Languid Lap",,60,
350,"Microblaster",,60,
351,"Charged Whisker",,60,
352,"Chaotic Eye",,60,
353,"Blaster",,60,
354,"Curiosity",,60,
355,"Megablaster",魔法,60,
356,"Iron Justice",斬,60,
357,"King's Will",,60,
358,"Blade of Suffering",,60,
359,"Blade of Absolution",,60,
360,"Blade of Repentance",,60,
361,"Flat Blade",斬,60,
362,"Mind Blast",魔法,60,
363,"Drain Touch",打,200,
364,"Acid Mist",,60,
365,"Acid Mist",,60,
366,"Acid Mist",,60,
367,"Acid Mist",,60,
368,"Mudslinger",,60,
369,"Stone Throw",突,60,
370,"Bombardier",打,60,
371,"Infestation",,60,
372,"Spoil",,60,
373,"Somersault Slash",打,60,
374,"Nutshell",,60,
375,"Nutshell",,60,
376,"Nutshell",,60,
377,"Scamper",,60,
378,"Blood Drain",ブレス,60,
379,"Ultrasonics",,60,
380,"Ultrasonics",,60,
381,"Aqueous Discharge",魔法,60,
382,"Viscous Discharge",,60,
383,"Mucous Discharge",,60,
384,"Agitation",打,60,
385,"Agitation",打,60,
386,"Agitation",打,60,
387,"Snap Jaw",斬,60,
388,"Corrosive Spit",,60,
389,"Corrosive Spit",,60,
390,"Proboscis",突,60,
391,"Blood Drain",突,60,
392,"Blood Drain",,60,
393,"Blinding Burst",,60,
394,"Lulling Light",,60,
395,"Limbs of Lead",,60,
396,"Hypha Whip",打,60,
397,"Queasy Cloud",,60,
398,"Slumber Cloud",,60,
399,"Romp",打,60,
400,"Jittering Jig",,60,
401,"Frenetic Flurry",打,60,
402,"Haste",,60,
403,"Fortis",,60,
404,"Celeris",,60,
405,"Bomb Toss",魔法,60,
406,"Bomb Toss",魔法,60,
407,"Firecracker Shower",,150,
408,"Wild Rattle",打,60,
409,"Dripping Fang",,60,
410,"Stone Gaze",,300,
411,"Backflip",打,60,
412,"Tail Chase",打,60,
413,"Fireball",魔法,60,
414,"Bombination",魔法,60,
415,"Whipcrack",打,60,
416,"Golden Tongue",,60,
417,"Tortoise Stomp",打,60,
418,"Harden Shell",,60,
419,"Lateral Slash",斬,60,
420,"Whetstone",,600,
421,"Smite of Rage",,200,
422,"Grand Slam",打,60,
423,"Coming Storm",,60,
424,"Swift Gust",,60,
425,"Reflect",,600,
426,"Enfire",,300,
427,"Enblizzard",,300,
428,"Enaero",,300,
429,"Enstone",,300,
430,"Enthunder",,300,
431,"Enwater",,300,
432,"Drain",ブレス,30,
433,"",,0,
434,"",,0,
435,"",,0,
436,"",魔法,0,
437,"",魔法,0,
438,"",魔法,0,
439,"",,0,
440,"Canopy",打,60,
441,"Arboreal Storm",打,60,
442,"Acorn Bomb",,60,
443,"Stone Skull",打,60,
444,"Boulder Clap",打,60,
445,"True Grit",ブレス,60,
446,"the Dragon's Breath",ブレス,60,
447,"登場",,0,
448,"Stagnant Spray",魔法,60,
449,"Eerie Light",,60,
450,"Peculiar Light",,60,
451,"攻撃",斬,0,
452,"Sear",魔法,0,
453,"Incinerate",ブレス,0,
454,"Vulcan Burst",魔法,0,
455,"Eruption",,0,
456,"Radiant Plume",,0,
457,"Crimson Cyclone",魔法,0,
458,"Hellfire",魔法,0,
459,"イフリート：ジャンプ",,0,
460,"イフリート：着地",,0,
461,"イフリート：炎獄の楔召喚",,0,
462,"イフリート：角復活",,0,
463,"イフリート：怒りオン",,0,
464,"炎獄の楔：出現",,0,
465,"炎獄の楔：死亡",,0,
466,"",,0,
467,"",,0,
468,"",,0,
469,"",,0,
470,"",,0,
471,"",,0,
472,"",,0,
473,"",,0,
474,"Barbaric Surge",,60,
475,"Triple Threat",打,60,
476,"Footwork",,60,
477,"Gut Rip",,600,
478,"Backhand Blow",打,60,
479,"Rise and Fall",打,60,
480,"Photosynthesis",,0,
481,"Photorespiration",,0,
482,"Plaincracker",魔法,60,
483,"Rockslide",打,60,
484,"Calcify",,0,
485,"汎用：詩人技：回避アップ歌",,60,
486,"汎用：詩人技：攻撃アップ歌",,60,
487,"汎用：詩人技：防御アップ歌",,60,
488,"Cold Caress",,300,
489,"Sweet Steel",斬,60,
490,"Devastate",打,60,
491,"Infuriate",,60,
492,"Piercing Arrow",,0,
493,"汎用：巴術技：単体スロウ",,60,
494,"汎用：巴術技：単体防御DOWN",,60,
495,"Faze",,300,
496,"Sandslinger",,60,
497,"Body Slam",打,60,
498,"Cold Gaze",,300,
499,"Stone Gaze",,300,
500,"Run Amok",,60,
501,"50 Needles",突,60,
502,"100 Needles",突,60,
503,"1000 Needles",突,60,
504,"Hammer Beak",突,60,
505,"Petribreath",,300,
506,"Numbing Breath",,300,
507,"Poison Breath",,300,
508,"Slumber Breath",,300,
509,"Howl",,60,
510,"Foul Bite",突,60,
511,"Sanguine Bite",斬,60,
512,"Cursed Gaze",,300,
513,"Dread Gaze",,300,
514,"Level 5 Petrify",,0,
515,"Vulcanize",,60,
516,"Shatter",魔法,60,
517,"Burning Cyclone",魔法,60,
518,"Levinshower",魔法,60,
519,"Levinfang",,60,
520,"Head Butt",打,60,
521,"Seismic Scream",,60,
522,"Lanolin",,300,
523,"Trap Jaws",突,60,
524,"Acid Spray",魔法,60,
525,"Drill Cannons",突,60,
526,"Cermet Drill",突,60,
527,"Overcharge",魔法,60,
528,"Sand Breath",ブレス,60,
529,"Sandstorm",ブレス,60,
530,"Poison Breath",ブレス,60,
531,"Earthbreak",魔法,0,
532,"Earthquake",魔法,60,
533,"Sand Pillar",魔法,20,
534,"Grand Sword",斬,60,
535,"Grand Strike",魔法,60,
536,"Disruptor",,60,
537,"Magitek Ray",魔法,60,
538,"Overheat",,60,
539,"Exhaust",魔法,60,
540,"Magitek Field",,60,
541,"Gnaw",突,60,
542,"Seaspray",,60,
543,"Sandspray",,60,
544,"Feeding Frenzy",,60,
545,"Pulverizing Pound",打,60,
546,"Seismic Rift",,60,
547,"Seismic Rift",魔法,60,
548,"Khoomii",魔法,60,
549,"Sonorous Blast",,60,
550,"Encierro",打,60,
551,"Soil Coat",,60,
552,"Spine Stream",突,60,
553,"Titan's Boon",,60,
554,"Titan's Anger",魔法,60,
555,"Water Cannon",魔法,60,
556,"Hydroball",魔法,300,
557,"Lacerate",斬,60,
558,"Salivous Snap",突,120,
559,"Dragon Breath",ブレス,200,
560,"Granite Rain",打,240,
561,"Spinning Kick",打,300,
562,"Groundburst",魔法,60,
563,"Toxic Vomit",ブレス,150,
564,"Touchdown",打,0,
565,"カラードラゴン：飛び立ち消滅",,0,
566,"Bubble Shower",魔法,60,
567,"Big Scissors",斬,60,
568,"Bubble Bath",,60,
569,"Crab Dribble",斬,60,
570,"Peck",突,60,
571,"Fowl Stench",魔法,60,
572,"Rancid Belch",魔法,60,
573,"Flying Sardine",突,60,
574,"Regurgitate",,60,
575,"Beatdown",打,60,
576,"Inhale",,60,
577,"Swallow",,60,
578,"Spit",,60,
579,"Moldy Sneeze",魔法,60,
580,"Sickly Sneeze",魔法,60,
581,"Black Hole",,0,
582,"Worm Hole",,0,
583,"the Look",魔法,60,
584,"Rotten Breath",魔法,250,
585,"Curse",魔法,60,
586,"Malice",魔法,60,
587,"Pervasion",,60,
588,"Numbing Tendrils",突,60,
589,"Irritating Tendrils",突,60,
590,"Bleat",,60,
591,"Fleece Butt",打,60,
592,"Lullaby",,60,
593,"Floral Bouquet",,60,
594,"Scream",,60,
595,"Catapult",打,60,
596,"Bestial Bay",魔法,60,
597,"ドラゴン毒沼：発生ループ",魔法,0,
598,"ドラゴン毒沼：消滅",,0,
599,"Aqua Vitae",,60,
600,"Bone Powder",魔法,60,
601,"Beak Snap",打,60,
602,"Overtone Shriek",魔法,60,
603,"Shriek",魔法,60,
604,"Bad Breath",,300,
605,"Sweet Breath",,60,
606,"Vine Probe",突,60,
607,"Defensive Maneuvers",,60,
608,"Shred",突,60,
609,"the Hand",打,60,
610,"Death Grip",魔法,0,
611,"デスクロー：デスクロー解除",,0,
612,"Straight Punch",打,60,
613,"Elbow Drop",打,60,
614,"Heartburn",魔法,60,
615,"Absent-mindedness",,60,
616,"Hot Hands",,60,
617,"Hot Horns",,60,
618,"Double Smash",打,60,
619,"Corrupted Tail",突,600,
620,"Grim Cleaver",魔法,60,
621,"Grim Halo",斬,60,
622,"Desolation",魔法,60,
623,"Hellssend",,250,
624,"Grim Fate",斬,60,
625,"10-tonze Swipe",打,60,
626,"10-tonze Swing",打,60,
627,"100-tonze Swipe",打,60,
628,"100-tonze Swing",打,450,
629,"Glower",魔法,200,
630,"Animal Instinct",,0,
631,"Eye of the Beholder",魔法,0,
632,"Smoldering Scales",,300,
633,"Gouge",魔法,30,
634,"Shining Topaz",魔法,0,
635,"Curl",,1200,
636,"Storm",魔法,400,
637,"Gust",魔法,30,
638,"Backdraft",魔法,900,
639,"Downburst",魔法,0,
640,"Shining Emerald",,600,
641,"Rock Buster",打,0,
642,"Tumult",魔法,0,
643,"Mountain Buster",打,0,
644,"Weight of the Land",,0,
645,"Rock Throw",,0,
646,"Boulder Throw",,0,
647,"Grim Cleaver",魔法,30,
648,"Grim Fate",斬,80,
649,"Desolation",魔法,80,
650,"Landslide",打,0,
651,"Geocrush",魔法,0,
652,"Earthen Fury",魔法,0,
653,"タイタン：心臓露出",,0,
654,"タイタン：飛ぶ",,0,
655,"タイタン：着地する",,0,
656,"Friction",魔法,0,
657,"Downburst",打,0,
658,"Wicked Wheel",打,0,
659,"Slipstream",魔法,0,
660,"Mistral Song",魔法,0,
661,"Mistral Shriek",魔法,0,
662,"Aerial Blast",魔法,0,
663,"Great Whirlwind",魔法,0,
664,"Eye of the Storm",魔法,0,
665,"Featherlance",魔法,0,
666,"Thermal Tumult",魔法,0,
667,"Mistral Song",魔法,0,
668,"Mirage",,0,
669,"Wild Rattle",打,60,
670,"Liquid Hell",魔法,0,
671,"Twister",魔法,0,
672,"Corrupted Tail",突,600,
673,"Electromagnetism",打,0,
674,"attack",魔法,0,
675,"Firestream",魔法,0,
676,"Flame Breath",ブレス,60,
677,"Self-destruct",魔法,60,
678,"Self-destruct",魔法,60,
679,"Mana Cannon",魔法,60,
680,"Obliterate",魔法,120,
681,"Eyes on Me",魔法,60,
682,"attack",斬,30,
683,"White Breath",ブレス,120,
684,"ヒュドラ：首再生",,60,
685,"Ball of Fire",ブレス,60,
686,"Ball of Fire",ブレス,60,
687,"Ball of Ice",ブレス,60,
688,"Ball of Ice",ブレス,60,
689,"Radiant Breath",ブレス,100,
690,"Thrashing Star",打,60,
691,"Cannibalize",,600,
692,"Colossal Slam",打,60,
693,"ヘカトンケイルリーダー：壁殴り",打,0,
694,"Immortalize",,450,
695,"ヘカトンケイルメイジ：壁殴り",打,0,
696,"汎用：逃げる",,0,
697,"Realm Shaker",打,200,
698,"Sticky Web",,0,
699,"蜘蛛：コチュー落下予兆",,0,
700,"蜘蛛：コチュー落下",,0,
701,"Silkscreen",魔法,300,
702,"Deadly Thrust",打,200,
703,"蜘蛛：毒エリア",魔法,0,
704,"Tail Molt",,0,
705,"Dark Mist",魔法,400,
706,"Void Lamp",,0,
707,"Void Fire",魔法,0,
708,"ヒュドラ：右側首A破壊",,0,
709,"ヒュドラ：右側首B破壊",,0,
710,"ヒュドラ：左側首A破壊",,0,
711,"ヒュドラ：左側首B破壊",,0,
712,"ヒュドラ：右側首A復活",,0,
713,"ヒュドラ：右側首B復活",,0,
714,"ヒュドラ：左側首A復活",,0,
715,"ヒュドラ：左側首B復活",,0,
716,"Raging Arrow",,60,
717,"Fast Blade",斬,60,
718,"Shield Bash",打,60,
719,"Sentinel",,60,
720,"Overpower",斬,60,
721,"Featherfoot",,60,
722,"True Thrust",突,60,
723,"Wide Volley",突,60,
724,"Digest",打,60,
725,"Fluid Spread",,60,
726,"Fluid Spread",,60,
727,"Fluid Spread",,60,
728,"Fluid Spread",,60,
729,"汎用：詩人技：ヘヴィショット",突,60,
730,"Pod Burst",,0,
731,"Blood Drain",,60,
732,"Silken Fingers",,0,
733,"Eruption",魔法,0,
734,"Radiant Plume",魔法,0,
735,"Miasma Breath",魔法,0,
736,"Dark Wave",魔法,0,
737,"Lunge",斬,60,
738,"Electric Velitation",魔法,60,
739,"Bloody Claw",斬,60,
740,"Terror Eye",魔法,60,
741,"Triumphant Roar",,60,
742,"Black Revel",,0,
743,"Mudslinger",,0,
744,"Haste",,300,
745,"Dark Thorn",魔法,0,
746,"Soul Douse",魔法,200,
747,"",,0,
748,"",,0,
749,"Apocalypse",魔法,0,
750,"Evil Eye",魔法,0,
751,"Chaos Breath",魔法,0,
752,"",,0,
753,"",,0,
754,"",,0,
755,"",,0,
756,"",,0,
757,"",,0,
758,"Black Cloud",魔法,0,
759,"Blighted Gloom",魔法,60,
760,"Cloudscourge",魔法,0,
761,"",魔法,0,
762,"Crepuscule Blade",斬,240,
763,"Knout",,0,
764,"Burst",魔法,0,
765,"Fulmination",魔法,0,
766,"Shock",魔法,0,
767,"Shock",魔法,0,
768,"Comet",打,0,
769,"Cosmic Shrapnel",打,0,
770,"Thunderbolt",魔法,0,
771,"Charybdis",,0,
772,"Charybdis",魔法,0,
773,"Wild Horn",突,0,
774,"ベヒーモス：二本足",,0,
775,"Trounce",打,0,
776,"Ecliptic Meteor",魔法,0,
777,"attack",斬,0,
778,"Gungnir",,0,
779,"Darksteel Reins",,0,
780,"Zantetsuken",魔法,0,
781,"Hall of Stone",,0,
782,"Hall of Sorrow",魔法,0,
783,"Valknut",魔法,0,
784,"Hall of Lead",,0,
785,"Einherjar",魔法,0,
786,"Hopelessness",突,0,
787,"Rock Buster",魔法,30,
788,"Mountain Buster",魔法,0,
789,"Earthen Ward",,1200,
790,"Landslide",魔法,400,
791,"Earthen Fury",魔法,0,
792,"Wind Blade",魔法,30,
793,"Shockwave",魔法,900,
794,"Aerial Slash",魔法,0,
795,"Contagion",,600,
796,"Aerial Blast",魔法,0,
797,"Crimson Cyclone",魔法,0,
798,"Burning Strike",魔法,30,
799,"Radiant Shield",,600,
800,"Flaming Crush",魔法,0,
801,"Inferno",魔法,0,
802,"Embrace",魔法,30,
803,"Whispering Dawn",,0,
804,"Fey Covenant",,1200,
805,"Fey Illumination",,0,
806,"Embrace",魔法,30,
807,"Silent Dusk",,400,
808,"Fey Glow",,600,
809,"Fey Light",,600,
810,"Fey Caress",,600,
811,"Fey Wind",,600,
812,"",,0,
813,"",,0,
814,"",打,0,
815,"Collect",,0,
816,"",,0,
817,"Choco Strike",打,0,
818,"Choco Guard",,0,
819,"Choco Kick",打,0,
820,"Choco Drop",打,0,
821,"Choco Blast",打,0,
822,"Choco Rush",打,0,
823,"Choco Beak",突,0,
824,"Choco Slash",打,0,
825,"Choco Medica",魔法,0,
826,"Choco Surge",魔法,0,
827,"Choco Cure",魔法,0,
828,"Choco Regen",魔法,0,
829,"Hundred Fists",,600,
830,"汎用：絶対回避",,600,
831,"コボルド：大型爆弾",,300,
832,"コボルド：範囲被ダメージカット",,200,
833,"コボルド：範囲被ダメージカット強",,0,
834,"Jumping Thrust",突,200,
835,"Ambuscade",打,0,
836,"シュポシェ池：出現予兆",,0,
837,"シュポシェ池：予兆解除",,0,
838,"シュポシェ池：出現",,0,
839,"Detonation",魔法,0,
840,"Massive Detonation",魔法,0,
841,"",,0,
842,"",,0,
843,"",,0,
844,"",,0,
845,"",,0,
846,"",,0,
847,"",,0,
848,"",,0,
849,"",,0,
850,"Unpacking Minion",,0,
851,"",,0,
852,"",,0,
853,"",,0,
854,"Void Fire III",魔法,300,
855,"Void Fire II",魔法,150,
856,"Void Thunder III",魔法,200,
857,"Bomb Hurl",,0,
858,"Phlebotomize",突,25,
859,"Ice Spikes",,300,
860,"Soul Drain",ブレス,250,
861,"Drunken Fists",打,60,
862,"Mini Detonation",魔法,0,
863,"Acorn Armageddon",,60,
864,"Flaming Crush",打,60,
865,"Gutripper",打,60,
866,"Heartstopper",突,60,
867,"Void Call",魔法,60,
868,"Seduce",,0,
869,"Cold Mist",,0,
870,"attack",斬,0,
871,"attack",突,0,
872,"attack",打,0,
873,"attack",突,0,
874,"attack",魔法,0,
875,"attack",魔法,0,
876,"attack",魔法,0,
877,"attack",魔法,0,
878,"attack",魔法,0,
879,"attack",魔法,0,
880,"attack",斬,0,
881,"attack",突,0,
882,"attack",打,0,
883,"attack",突,0,
884,"attack",魔法,0,
885,"attack",魔法,0,
886,"attack",魔法,0,
887,"attack",魔法,0,
888,"attack",魔法,0,
889,"attack",魔法,0,
890,"attack",斬,0,
891,"attack",突,0,
892,"attack",打,0,
893,"attack",突,0,
894,"attack",魔法,0,
895,"attack",魔法,0,
896,"attack",魔法,0,
897,"attack",魔法,0,
898,"attack",魔法,0,
899,"attack",魔法,0,
900,"Tornado",魔法,0,
901,"Rake",斬,60,
902,"the Lion's Breath",ブレス,60,
903,"Swinge",打,0,
904,"Sprout Smack",打,60,
905,"Sprout Spin",打,60,
906,"Stolon",,60,
907,"Small Claw",斬,60,
908,"FF11クラブ：泡ブレス",,60,
909,"Screwdriver",斬,60,
910,"Water Wall",,60,
911,"Dark Orb",魔法,60,
912,"Condemnation",魔法,60,
913,"Painful Whip",打,60,
914,"Gas Shell",,60,
915,"Bearclaw",打,60,
916,"Filoplumage",,60,
917,"Gust",魔法,60,
918,"Sharp Sting",突,60,
919,"Final Sting",突,60,
920,"Foreburst",魔法,60,
921,"Wind Shear",魔法,60,
922,"Zephyr Mantle",,60,
923,"Loop",突,60,
924,"Slowcall",,60,
925,"FF12ミリアムガード：マップOBJ召喚武器投げ",,0,
926,"FF12ミリアムガード：マップOBJ召喚4つ同時",,0,
