key,0,1,2
#,Name,AttackType,Recast<100ms>
int32,str,int32,int32
285,"Nachhaltigkeit II",,0,
286,"Komfortzone",,0,
287,"Reklamation",,0,
288,"Köder",,0,
289,"Angeln",,0,
290,"Ruf des Waldes II",,200,
291,"Bodenbefund II",,200,
292,"Llymlaens Segen",,0,
293,"Thaliaks Segen",,0,
294,"Meister der Felder III",,0,
295,"Scharfer Blick III",,0,
296,"Anschlag",,0,
297,"Naturköder",,0,
298,"Coeurl-Pfoten",,0,
299,"Beenden",,0,
300,"Freilassen",,0,
301,"Spontane Begutachtung II",,0,
302,"Spontane Begutachtung II",,0,
303,"Verstohlenheit",,0,
304,"Verstohlenheit",,0,
305,"Verstohlenheit",,0,
306,"",,0,
307,"Schweigen",,300,
308,"Paralyse",,300,
309,"Hast",,300,
310,"Gemach",,300,
311,"Feuerstachel",,300,
312,"Eisstachel",,300,
313,"Schockstachel",,300,
314,"Physische Steinhaut",,300,
315,"Magische Steinhaut",,300,
316,"Steinhaut",,300,
317,"Fauliger Atem",ブレス,60,
318,"Frostiger Atem",ブレス,60,
319,"Huftritt",打,60,
320,"Stampede",打,60,
321,"Großes Horn",打,60,
322,"Steinwurf",突,30,
323,"Dreckschmiere",,60,
324,"Tiefer Kratzer",,60,
325,"Donnerschlag",魔法,60,
326,"Donnersturm",,60,
327,"Klebnetz",,60,
328,"Ätzsprüher",,60,
329,"Tödliche Durchbohrung",突,60,
330,"Tödliche Durchbohrung",,60,
331,"Flügelschnitt",魔法,60,
332,"Markerschütternder Schrei",,60,
333,"Dotterguss",,60,
334,"Wilder Ansturm",打,60,
335,"Borstigkeit",,60,
336,"Grunzen",,150,
337,"Selbstzerstörung",魔法,60,
338,"Kombustion",,60,
339,"Verpuffung",,60,
340,"Kränken",,60,
341,"Höllenhieb",斬,60,
342,"Seelensauger",ブレス,60,
343,"Todesfluch",,60,
344,"Saatsalve",突,30,
345,"Säuerliches Sausen",,60,
346,"Schnittiges Sausen",魔法,60,
347,"Spitze Zunge",打,60,
348,"Schleimiges Sekret",,60,
349,"Abschlecken",,60,
350,"Mikroschlag",,60,
351,"Sinushaar-Schock",,60,
352,"Auge des Chaos",,60,
353,"Vibrissenpuls",,60,
354,"Neugierde",,60,
355,"Megaschlag",魔法,60,
356,"Eiserne Gerechtigkeit",斬,60,
357,"Wille des Königs",,60,
358,"Klinge des Leids",,60,
359,"Klinge der Absolution",,60,
360,"Klinge der Buße",,60,
361,"Gleißende Klinge",斬,60,
362,"Geiststoß",魔法,60,
363,"Schwächende Berührung",打,200,
364,"Säurenebel",,60,
365,"Säurenebel",,60,
366,"Säurenebel",,60,
367,"Säurenebel",,60,
368,"Dreckschleuder",,60,
369,"Steinwurf",突,60,
370,"Bombardierung",打,60,
371,"Verseuchung",,60,
372,"Abraumhalde",,60,
373,"Salto mortale",打,60,
374,"Nussschale",,60,
375,"Nussschale",,60,
376,"Nussschale",,60,
377,"Flinkes Getrippel",,60,
378,"Blutsauger",ブレス,60,
379,"Ultraschall",,60,
380,"Ultraschall",,60,
381,"Wässriges Exkret",魔法,60,
382,"Klebriges Exkret",,60,
383,"Bitteres Exkret",,60,
384,"Hektische Bewegung",打,60,
385,"Hektische Bewegung",打,60,
386,"Hektische Bewegung",打,60,
387,"Schnappkiefer",斬,60,
388,"Giftspucke",,60,
389,"Giftspucke",,60,
390,"Mückenbiss",突,60,
391,"Blutsauger",突,60,
392,"Blutsauger",,60,
393,"Blendender Blitz",,60,
394,"Laues Licht",,60,
395,"Zauberbann",,60,
396,"Zellfadenpeitsche",打,60,
397,"Vomitio-Wolke",,60,
398,"Schlummerwolke",,60,
399,"Herumtollen",打,60,
400,"Ekstatischer Tanz",,60,
401,"Treibfäustel",打,60,
402,"Hast",,60,
403,"Fortis",,60,
404,"Celeris",,60,
405,"Bombenwurf",魔法,60,
406,"Bombenwurf",魔法,60,
407,"Böllerschauer",,150,
408,"Wildes Rattern",打,60,
409,"Tropfender Zahn",,60,
410,"Versteinernder Blick",,300,
411,"Rückwärtssalto",打,60,
412,"Schwanzjagd",打,60,
413,"Feuerball",魔法,60,
414,"Zerbombung",魔法,60,
415,"Schmetterpeitsche",打,60,
416,"Goldzunge",,60,
417,"Schildkröten-Stampfer",打,60,
418,"Harte Schale",,60,
419,"Rumpfschnitt",斬,60,
420,"Wetzstein",,600,
421,"Zornesschlag",,200,
422,"Volltreffer",打,60,
423,"Kommender Sturm",,60,
424,"Flinke Federn",,60,
425,"Reflexion",,600,
426,"Feuerrune",,300,
427,"Eisrune",,300,
428,"Windrune",,300,
429,"Erdrune",,300,
430,"Blitzrune",,300,
431,"Wasserrune",,300,
432,"Aussaugen",ブレス,30,
433,"",,0,
434,"",,0,
435,"",,0,
436,"",魔法,0,
437,"",魔法,0,
438,"",魔法,0,
439,"",,0,
440,"Baldachin",打,60,
441,"Arboretum der Agonie",打,60,
442,"Eichelbombe",,60,
443,"Felsschädel",打,60,
444,"Brockenklatscher",打,60,
445,"Splittstrahl",ブレス,60,
446,"Atem des Drachen",ブレス,60,
447,"Erscheinung",,0,
448,"Wasserodem",魔法,60,
449,"Greller Schein",,60,
450,"Unheimliche Aura",,60,
451,"Attacke",斬,0,
452,"Versengen",魔法,0,
453,"Einäschern",ブレス,0,
454,"Feuerstoß",魔法,0,
455,"Eruption",,0,
456,"Scheiterhaufen",,0,
457,"Zinnober-Zyklon",魔法,0,
458,"Höllenfeuer",魔法,0,
459,"イフリート：ジャンプ",,0,
460,"イフリート：着地",,0,
461,"イフリート：炎獄の楔召喚",,0,
462,"イフリート：角復活",,0,
463,"イフリート：怒りオン",,0,
464,"炎獄の楔：出現",,0,
465,"炎獄の楔：死亡",,0,
466,"",,0,
467,"",,0,
468,"",,0,
469,"",,0,
470,"",,0,
471,"",,0,
472,"",,0,
473,"",,0,
474,"Barbarenzorn",,60,
475,"Dreifachdrohung",打,60,
476,"Beinarbeit",,60,
477,"Aufschlitzen",,600,
478,"Hinterholz",打,60,
479,"Absteigender Ast",打,60,
480,"Photosynthese",,0,
481,"Photorespiration",,0,
482,"Plattensprenger",魔法,60,
483,"Erdrutsch",打,60,
484,"Kalzifikation",,0,
485,"汎用：詩人技：回避アップ歌",,60,
486,"汎用：詩人技：攻撃アップ歌",,60,
487,"汎用：詩人技：防御アップ歌",,60,
488,"Giftige Berührung",,300,
489,"Süßer Stahl",斬,60,
490,"Verwüsten",打,60,
491,"Erzürnen",,60,
492,"Knieschuss",,0,
493,"汎用：巴術技：単体スロウ",,60,
494,"汎用：巴術技：単体防御DOWN",,60,
495,"Verwirrung",,300,
496,"Sandwerfer",,60,
497,"Bodenwelle",打,60,
498,"Kalter Blick",,300,
499,"Versteinernder Blick",,300,
500,"Amoklauf",,60,
501,"50 Nadeln",突,60,
502,"100 Nadeln",突,60,
503,"1000 Nadeln",突,60,
504,"Hammerschnabel",突,60,
505,"Petri-Atem",,300,
506,"Betäubungsatem",,300,
507,"Gift-Atem",,300,
508,"Schlummer-Atem",,300,
509,"Geheul",,60,
510,"Fäulnisbiss",突,60,
511,"Vampirbiss",斬,60,
512,"Blick der Verdammnis",,300,
513,"Blick des Grauens",,300,
514,"Petrifikation Stufe 5",,0,
515,"Vulkanisieren",,60,
516,"Zerschmettern",魔法,60,
517,"Brennender Zyklon",魔法,60,
518,"Blitzschauer",魔法,60,
519,"Blitzklauen",,60,
520,"Kopfstoß",打,60,
521,"Seismischer Schrei",,60,
522,"Lanolin",,300,
523,"Fangkiefer",突,60,
524,"Säure",魔法,60,
525,"Bohrkanone",突,60,
526,"Cermet-Bohrer",突,60,
527,"Überladung",魔法,60,
528,"Sandatem",ブレス,60,
529,"Sandsturm",ブレス,60,
530,"Gift-Atem",ブレス,60,
531,"Erdbrecher",魔法,0,
532,"Erdbeben",魔法,60,
533,"Sandsäule",魔法,20,
534,"Großschwert",斬,60,
535,"Großschlag",魔法,60,
536,"Disruptor",,60,
537,"Magitek-Laser",魔法,60,
538,"Überhitzung",,60,
539,"Exhaustor",魔法,60,
540,"Magitek-Feld",,60,
541,"Verbeißen",突,60,
542,"Salzspritzer",,60,
543,"Schlammspritzer",,60,
544,"Fressrausch",,60,
545,"Zermalmender Tritt",打,60,
546,"Seismischer Bruch",,60,
547,"Seismischer Bruch",魔法,60,
548,"Khoomii",魔法,60,
549,"Sonorer Knall",,60,
550,"Encierro",打,60,
551,"Erdmantel",,60,
552,"Stachelstrom",突,60,
553,"Titans Huld",,60,
554,"Titans Zorn",魔法,60,
555,"Wasserkanone",魔法,60,
556,"Wasserbombe",魔法,300,
557,"Erodieren",斬,60,
558,"Maulschnapper",突,120,
559,"Drachenatem",ブレス,200,
560,"Granitregen",打,240,
561,"Rundumschlag",打,300,
562,"Erdsenger",魔法,60,
563,"Toxischer Auswurf",ブレス,150,
564,"Himmelssturz",打,0,
565,"カラードラゴン：飛び立ち消滅",,0,
566,"Blubberblasen",魔法,60,
567,"Riesenschere",斬,60,
568,"Schaumbad",,60,
569,"Krabbengang",斬,60,
570,"Picken",突,60,
571,"Fauliger Furz",魔法,60,
572,"Ranziger Rülpser",魔法,60,
573,"Spucksardine",突,60,
574,"Hervorwürgen",,60,
575,"Prankenhieb",打,60,
576,"Inhalieren",,60,
577,"Schlucken",,60,
578,"Spucken",,60,
579,"Schimmliger Nieser",魔法,60,
580,"Erkälteter Nieser",魔法,60,
581,"Schwarzes Loch",,0,
582,"Wurmloch",,0,
583,"Schiefer Blick",魔法,60,
584,"Verrottender Atem",魔法,250,
585,"Fluch",魔法,60,
586,"Boshaftigkeit",魔法,60,
587,"Durchdringung",,60,
588,"Paralysetentakel",突,60,
589,"Nesseltentakel",突,60,
590,"Geblöke",,60,
591,"Vliesabreibung",打,60,
592,"Schaflied",,60,
593,"Süßer Duft",,60,
594,"Schrei",,60,
595,"Zermatschen",打,60,
596,"Barbarisches Brüllen",魔法,60,
597,"ドラゴン毒沼：発生ループ",魔法,0,
598,"ドラゴン毒沼：消滅",,0,
599,"Aqua Vitae",,60,
600,"Knochenzerstampfer",魔法,60,
601,"Schnabelhieb",打,60,
602,"Schriller Schrei",魔法,60,
603,"Nervtötender Schrei",魔法,60,
604,"Schlechter Atem",,300,
605,"Süßlicher Atem",,60,
606,"Rankenstich",突,60,
607,"Abwehrmanöver",,60,
608,"Zerspanen",突,60,
609,"Die Hand",打,60,
610,"Todesgriff",魔法,0,
611,"デスクロー：デスクロー解除",,0,
612,"Gerade",打,60,
613,"Rippenstoß",打,60,
614,"Sodbrennen",魔法,60,
615,"Geistesabwesenheit",,60,
616,"Heiße Hände",,60,
617,"Heiße Hörner",,60,
618,"Schmetterfäuste",打,60,
619,"Giftiger Schweif",突,600,
620,"Grausamer Schlitzer",魔法,60,
621,"Grollschein",斬,60,
622,"Desolation",魔法,60,
623,"Botschaft der Hölle",,250,
624,"Bitteres Los",斬,60,
625,"10-Tonzen-Hieb",打,60,
626,"10-Tonzen-Schwung",打,60,
627,"100-Tonzen-Hieb",打,60,
628,"100-Tonzen-Schwung",打,450,
629,"Finsterer Blick",魔法,200,
630,"Tierischer Instinkt",,0,
631,"Auge des Betrachters",魔法,0,
632,"Lodernde Schuppen",,300,
633,"Ausstemmen",魔法,30,
634,"Glanztopas",魔法,0,
635,"Einrollen",,1200,
636,"Ansturm",魔法,400,
637,"Böe",魔法,30,
638,"Rückstoß",魔法,900,
639,"Fallböe",魔法,0,
640,"Glanzsmaragd",,600,
641,"Steinsprenger",打,0,
642,"Urerschütterung",魔法,0,
643,"Bergsprenger",打,0,
644,"Gaias Gewicht",,0,
645,"Granitgefängnis",,0,
646,"Latomie",,0,
647,"Grausamer Schlitzer",魔法,30,
648,"Bitteres Los",斬,80,
649,"Desolation",魔法,80,
650,"Bergsturz",打,0,
651,"Geo-Stoß",魔法,0,
652,"Gaias Zorn",魔法,0,
653,"タイタン：心臓露出",,0,
654,"タイタン：飛ぶ",,0,
655,"タイタン：着地する",,0,
656,"Windklinge",魔法,0,
657,"Fallböe",打,0,
658,"Rad der Bosheit",打,0,
659,"Wirbelströmung",魔法,0,
660,"Mistral-Song",魔法,0,
661,"Mistral-Schrei",魔法,0,
662,"Windschlag",魔法,0,
663,"Windhose",魔法,0,
664,"Auge des Sturms",魔法,0,
665,"Federlanze",魔法,0,
666,"Frühlingswind",魔法,0,
667,"Mistral-Song",魔法,0,
668,"Mirage",,0,
669,"Wildes Rattern",打,60,
670,"Höllenschmelze",魔法,0,
671,"Wirbelsturm",魔法,0,
672,"Giftiger Schweif",突,600,
673,"Elektromagnetismus",打,0,
674,"Attacke",魔法,0,
675,"Feuerstrom",魔法,0,
676,"Flammenatem",ブレス,60,
677,"Selbstzerstörung",魔法,60,
678,"Selbstzerstörung",魔法,60,
679,"Mana-Kanone",魔法,60,
680,"Ausradieren",魔法,120,
681,"Augen auf mich",魔法,60,
682,"Attacke",斬,30,
683,"Kalkatem",ブレス,120,
684,"ヒュドラ：首再生",,60,
685,"Feuerball",ブレス,60,
686,"Feuerball",ブレス,60,
687,"Eisball",ブレス,60,
688,"Eisball",ブレス,60,
689,"Strahlenatem",ブレス,100,
690,"Staupenschlag",打,60,
691,"Kannibalismus",,600,
692,"Kolossaler Schlag",打,60,
693,"ヘカトンケイルリーダー：壁殴り",打,0,
694,"Immortalisieren",,450,
695,"ヘカトンケイルメイジ：壁殴り",打,0,
696,"汎用：逃げる",,0,
697,"Erderschütterer",打,200,
698,"Klebriger Faden",,0,
699,"蜘蛛：コチュー落下予兆",,0,
700,"蜘蛛：コチュー落下",,0,
701,"Seidenschirm",魔法,300,
702,"Tödliche Durchbohrung",打,200,
703,"蜘蛛：毒エリア",魔法,0,
704,"Häutung",,0,
705,"Schattenhauch",魔法,400,
706,"Nichtslicht",,0,
707,"Nichtsfeuer",魔法,0,
708,"ヒュドラ：右側首A破壊",,0,
709,"ヒュドラ：右側首B破壊",,0,
710,"ヒュドラ：左側首A破壊",,0,
711,"ヒュドラ：左側首B破壊",,0,
712,"ヒュドラ：右側首A復活",,0,
713,"ヒュドラ：右側首B復活",,0,
714,"ヒュドラ：左側首A復活",,0,
715,"ヒュドラ：左側首B復活",,0,
716,"Wütende Attacke",,60,
717,"Vortexschnitt",斬,60,
718,"Schildschlag",打,60,
719,"Sentinel",,60,
720,"Kahlrodung",斬,60,
721,"Leichtfuß",,60,
722,"Sauberer Stoß",突,60,
723,"Sternenhagel",突,60,
724,"Verdauen",打,60,
725,"Einspeicheln",,60,
726,"Einspeicheln",,60,
727,"Einspeicheln",,60,
728,"Einspeicheln",,60,
729,"汎用：詩人技：ヘヴィショット",突,60,
730,"Platzende Schote",,0,
731,"Blutsauger",,60,
732,"Seidige Finger",,0,
733,"Eruption",魔法,0,
734,"Scheiterhaufen",魔法,0,
735,"Miasma-Atem",魔法,0,
736,"Dunkle Welle",魔法,0,
737,"Anfallen",斬,60,
738,"Elektrische Velitation",魔法,60,
739,"Blutklaue",斬,60,
740,"Terrorauge",魔法,60,
741,"Triumphgeheul",,60,
742,"Schwarzer Reigen",,0,
743,"Dreckschleuder",,0,
744,"Hast",,300,
745,"Dunkler Dorn",魔法,0,
746,"Seelenertränker",魔法,200,
747,"",,0,
748,"",,0,
749,"Apokalypse",魔法,0,
750,"Böses Auge",魔法,0,
751,"Chaos-Atem",魔法,0,
752,"",,0,
753,"",,0,
754,"",,0,
755,"",,0,
756,"",,0,
757,"",,0,
758,"Schwarze Wolke",魔法,0,
759,"Erstickte Düsternis",魔法,60,
760,"Wolkenpeitsche",魔法,0,
761,"",魔法,0,
762,"Zwielichtklinge",斬,240,
763,"Schuldspruch",,0,
764,"Detonation",魔法,0,
765,"Fulmination",魔法,0,
766,"Entladung",魔法,0,
767,"Entladung",魔法,0,
768,"Komet",打,0,
769,"Kosmos-Splitter",打,0,
770,"Donnerkeil",魔法,0,
771,"Charybdis",,0,
772,"Charybdis",魔法,0,
773,"Wildes Horn",突,0,
774,"ベヒーモス：二本足",,0,
775,"Fetzenreißer",打,0,
776,"Ekliptik-Meteor",魔法,0,
777,"Attacke",斬,0,
778,"Gungnir",,0,
779,"Dunkle Zügel",,0,
780,"Zantetsuken",魔法,0,
781,"Halle des Steins",,0,
782,"Halle des Schmerzes",魔法,0,
783,"Valknut",魔法,0,
784,"Halle der Stille",,0,
785,"Einherjar",魔法,0,
786,"Welle der Düsternis",突,0,
787,"Steinsprenger",魔法,30,
788,"Bergsprenger",魔法,0,
789,"Erdengewahrsam",,1200,
790,"Bergsturz",魔法,400,
791,"Gaias Zorn",魔法,0,
792,"Windklinge",魔法,30,
793,"Schockwelle",魔法,900,
794,"Lufthieb",魔法,0,
795,"Infektion",,600,
796,"Windschlag",魔法,0,
797,"Zinnober-Zyklon",魔法,0,
798,"Brennender Schlag",魔法,30,
799,"Glühender Schild",,600,
800,"Flammenstoß",魔法,0,
801,"Inferno",魔法,0,
802,"Sanfte Umarmung",魔法,30,
803,"Erhebendes Flüstern",,0,
804,"Feenverheißung",,1200,
805,"Illumination",,0,
806,"Sanfte Umarmung",魔法,30,
807,"Abendstille",,400,
808,"Sprühender Glanz",,600,
809,"Feenlicht",,600,
810,"Feenhauch",,600,
811,"Feenwind",,600,
812,"",,0,
813,"",,0,
814,"",打,0,
815,"Sammeln",,0,
816,"",,0,
817,"Chocobo-Schlag",打,0,
818,"Chocobo-Block",,0,
819,"Chocobo-Tritt",打,0,
820,"Chocobo-Faller",打,0,
821,"Chocobo-Knall",打,0,
822,"Chocobo-Rausch",打,0,
823,"Chocobo-Schnabel",突,0,
824,"Chocobo-Hieb",打,0,
825,"Chocobo-Reseda",魔法,0,
826,"Chocobo-Quelle",魔法,0,
827,"Chocobo-Vita",魔法,0,
828,"Chocobo-Regena",魔法,0,
829,"100 Fäuste",,600,
830,"汎用：絶対回避",,600,
831,"コボルド：大型爆弾",,300,
832,"コボルド：範囲被ダメージカット",,200,
833,"コボルド：範囲被ダメージカット強",,0,
834,"Sprungattacke",突,200,
835,"Hinterhalt",打,0,
836,"シュポシェ池：出現予兆",,0,
837,"シュポシェ池：予兆解除",,0,
838,"シュポシェ池：出現",,0,
839,"Detonation",魔法,0,
840,"Massive Detonation",魔法,0,
841,"",,0,
842,"",,0,
843,"",,0,
844,"",,0,
845,"",,0,
846,"",,0,
847,"",,0,
848,"",,0,
849,"",,0,
850,"Begleiter rufen",,0,
851,"",,0,
852,"",,0,
853,"",,0,
854,"Nichts-Feuga",魔法,300,
855,"Nichts-Feura",魔法,150,
856,"Nichts-Blitzga",魔法,200,
857,"Bombenschleuderwurf",,0,
858,"Phlebotomie",突,25,
859,"Eisstachel",,300,
860,"Seelensauger",ブレス,250,
861,"Betrunkene Faust",打,60,
862,"Mini-Detonateur",魔法,0,
863,"Eichel-Armageddon",,60,
